tract,lon,lat,rooms,lower_status_pct,crime_index,nox,median_value_k,river_adjacent
BOS_030,-71.04054,42.35533,6.45,6.9,2.6,0.492,45.4,1
BOS_031,-70.88495,42.34024,6.28,12.2,0.67,0.506,42.9,0
BOS_032,-71.15791,42.34732,6.22,15.9,1.65,0.466,35.5,1
BOS_033,-71.11578,42.34517,5.21,6.9,2.78,0.508,35.6,1
BOS_034,-71.1252,42.31998,6.08,18.7,1.53,0.485,30.7,0
BOS_035,-71.10517,42.25115,6.25,9.8,0.45,0.513,44.2,0
BOS_036,-71.11106,42.36866,5.39,9.8,0.22,0.466,41.6,1
BOS_037,-70.84131,42.31539,5.25,15.3,0.04,0.627,29.4,0
BOS_038,-71.03352,42.29017,5.78,14.9,0.04,0.393,37.8,0
BOS_039,-71.12668,42.37139,4.72,9.5,2.25,0.524,30.6,1
BOS_040,-71.07265,42.26578,5.34,10.0,1.51,0.456,36.4,0
BOS_041,-70.92441,42.38658,6.46,9.5,0.64,0.56,38.1,0
BOS_042,-71.13782,42.39702,6.33,7.2,0.15,0.542,46.8,0
BOS_043,-70.8388,42.2664,5.3,17.4,0.06,0.608,32.9,0
BOS_044,-71.02491,42.26082,7.16,6.2,0.93,0.659,51.1,0
BOS_045,-70.96985,42.26059,5.3,21.7,0.09,0.491,28.2,0
BOS_046,-70.83156,42.33648,5.61,14.1,1.31,0.465,34.0,0
BOS_047,-71.07217,42.3343,5.71,17.2,0.16,0.453,33.7,0
BOS_048,-70.83713,42.23721,6.17,3.6,0.03,0.545,47.7,0
BOS_049,-70.90271,42.37783,6.06,8.5,0.82,0.537,48.1,0
BOS_050,-70.84802,42.25389,6.28,10.0,0.1,0.631,40.4,0
BOS_051,-70.93681,42.38443,6.27,12.0,0.61,0.502,42.3,0
BOS_052,-71.04407,42.37217,4.89,8.2,1.0,0.585,36.3,1
BOS_053,-70.86836,42.28992,6.01,17.2,0.31,0.537,37.6,0
BOS_054,-70.90399,42.37178,5.93,21.0,1.33,0.6,32.7,0
BOS_055,-70.94712,42.38984,6.73,15.7,0.97,0.569,36.8,0
BOS_056,-70.98884,42.24206,6.5,11.1,3.98,0.468,37.0,0
BOS_057,-71.01774,42.39905,6.52,2,0.24,0.422,56.4,0
BOS_058,-71.06302,42.27812,5.74,10.3,0.07,0.462,40.2,0
BOS_059,-71.00039,42.25209,6.82,10.1,0.76,0.403,46.9,0
BOS_060,-70.90203,42.40017,7.07,16.3,0.07,0.35,47.3,0
BOS_061,-71.16114,42.39163,5.75,9.0,0.12,0.715,38.7,0
BOS_062,-71.01132,42.3875,7.19,5.0,0.35,0.505,58.9,0
BOS_063,-71.14247,42.29241,6.05,5.2,0.34,0.56,53.1,0
BOS_064,-71.10636,42.40054,6.71,8.8,0.42,0.455,47.1,0
BOS_065,-70.97639,42.35544,5.74,15.0,0.36,0.447,39.9,0
BOS_066,-71.12817,42.2768,7.05,2,1.47,0.541,57.6,0
BOS_067,-71.02587,42.25995,6.38,19.0,0.34,0.462,40.9,0
BOS_068,-70.94057,42.34994,5.99,14.1,0.04,0.568,36.9,0
BOS_069,-71.09625,42.26321,6.51,10.8,0.38,0.512,42.9,0
BOS_070,-70.99565,42.25927,6.72,8.4,0.52,0.691,43.6,0
BOS_071,-71.02511,42.28764,6.2,20.2,3.71,0.524,22.1,0
BOS_072,-71.01939,42.28217,7.09,25.2,0.85,0.443,33.7,0
BOS_073,-70.86352,42.30958,6.87,9.0,2.3,0.4,48.7,0
BOS_074,-71.07909,42.30229,6.83,14.9,0.1,0.447,47.3,0
BOS_075,-70.97996,42.26999,6.52,15.7,0.02,0.495,36.8,0
BOS_076,-70.94824,42.24573,6.03,8.7,0.38,0.516,38.4,0
BOS_077,-70.86296,42.29499,5.24,17.9,0.46,0.646,25.0,0
BOS_078,-71.06351,42.40595,6.58,13.5,1.3,0.496,31.2,0
BOS_079,-70.90067,42.28195,6.9,16.5,0.55,0.35,43.7,0
BOS_080,-70.97862,42.24549,5.98,13.5,2.02,0.608,34.3,0
BOS_081,-70.84437,42.3661,6.18,16.4,2.46,0.563,27.5,0
BOS_082,-70.93431,42.36594,6.62,14.1,0.48,0.559,39.6,0
BOS_083,-70.89255,42.38023,6.14,9.9,0.62,0.617,41.4,0
BOS_084,-71.09544,42.40208,6.21,14.9,1.06,0.442,40.2,0
BOS_085,-71.01292,42.35381,5.78,12.1,0.32,0.56,39.3,0
BOS_086,-70.9216,42.33459,6.19,2.8,0.99,0.455,46.9,0
BOS_087,-71.14695,42.32225,6.35,3.4,0.18,0.45,56.0,0
BOS_088,-70.87381,42.25439,6.41,14.1,0.54,0.575,41.2,0
BOS_089,-71.08565,42.32533,5.88,17.5,1.45,0.483,31.8,0
BOS_090,-70.91905,42.32787,6.46,18.5,1.16,0.412,33.8,0
BOS_091,-70.9422,42.24725,7.14,3.8,0.01,0.448,55.1,0
BOS_092,-71.01544,42.29126,6.13,14.0,0.17,0.5,39.7,0
BOS_093,-70.86706,42.34042,6.61,15.0,0.76,0.435,35.9,0
BOS_094,-71.14897,42.31289,5.86,20.2,2.57,0.588,21.3,0
BOS_095,-71.05948,42.37707,6.27,17.2,1.44,0.451,31.8,1
BOS_096,-71.17965,42.37662,7.06,13.7,0.15,0.675,42.5,1
BOS_097,-71.14312,42.24415,6.53,8.8,0.08,0.39,50.3,0
BOS_098,-71.17469,42.24941,5.12,13.6,0.06,0.427,37.0,0
BOS_099,-71.16615,42.35017,6.54,12.2,2.53,0.38,42.2,1
BOS_100,-71.12348,42.29328,7.54,20.1,2.84,0.604,35.5,0
BOS_101,-71.1322,42.32011,6.01,11.5,0.84,0.461,43.8,0
BOS_102,-71.18497,42.26906,6.7,13.5,2.32,0.581,29.3,0
BOS_103,-71.15447,42.26852,5.79,4.2,0.46,0.517,45.0,0
BOS_104,-70.84521,42.26255,5.83,9.0,0.24,0.582,42.0,0
BOS_105,-70.83554,42.25225,6.51,14.1,1.44,0.548,36.8,0
BOS_106,-71.17538,42.28906,5.4,15.1,0.92,0.563,28.1,0
BOS_107,-71.03018,42.3297,7.84,9.5,0.21,0.672,56.7,0
BOS_108,-71.01876,42.35224,6.73,19.8,0.68,0.784,32.9,0
BOS_109,-70.95292,42.2453,6.63,15.1,0.89,0.583,43.4,0
BOS_110,-70.83797,42.24165,7.08,16.5,0.9,0.509,41.7,0
BOS_111,-70.88828,42.36054,6.18,10.6,0.87,0.644,38.9,0
BOS_112,-70.95822,42.30204,7.34,5.3,0.52,0.536,52.5,0
BOS_113,-70.91352,42.24945,6.25,12.0,0.99,0.614,39.6,0
BOS_114,-71.17097,42.24228,6.42,6.2,0.48,0.35,51.0,0
BOS_115,-70.96609,42.24734,5.86,19.4,1.46,0.582,27.9,0
BOS_116,-70.95165,42.31825,5.78,11.7,1.96,0.593,27.4,0
BOS_117,-71.17862,42.30747,5.74,16.2,0.38,0.48,31.9,0
BOS_118,-71.17817,42.3302,6.71,14.7,1.22,0.468,38.4,0
BOS_119,-70.93234,42.31774,6.22,17.8,1.08,0.596,30.3,0
BOS_120,-71.01867,42.38378,5.42,7.0,0.68,0.517,45.9,0
BOS_121,-71.06301,42.406,6.04,11.5,0.05,0.537,42.7,0
BOS_122,-70.92286,42.23484,5.69,15.5,0.1,0.474,33.9,0
BOS_123,-71.06354,42.34902,6.71,12.1,0.9,0.636,42.0,1
BOS_124,-71.08023,42.29077,6.07,16.4,0.62,0.529,37.3,0
BOS_125,-70.86549,42.27799,5.56,9.8,4.25,0.42,31.0,0
BOS_126,-70.98389,42.3755,6.65,18.1,0.41,0.591,30.5,0
BOS_127,-71.06777,42.34067,6.18,8.5,0.69,0.585,46.4,0
BOS_128,-70.88746,42.32645,5.26,11.6,5.58,0.544,22.6,0
BOS_129,-70.92256,42.24655,6.47,13.2,0.41,0.49,46.7,0
BOS_130,-71.0189,42.26775,6.68,14.1,0.36,0.409,44.5,0
BOS_131,-70.99562,42.26601,5.55,6.3,0.6,0.585,42.6,0
BOS_132,-71.1833,42.3566,5.79,16.3,0.24,0.44,40.3,1
BOS_133,-71.02177,42.39869,5.95,5.2,1.47,0.497,41.9,0
BOS_134,-70.96437,42.32401,6.54,10.1,0.16,0.554,44.2,0
BOS_135,-71.03326,42.28736,5.7,12.9,0.23,0.494,33.2,0
BOS_136,-70.95742,42.27616,6.83,7.9,0.12,0.472,51.7,0
BOS_137,-70.8922,42.31355,6.66,7.0,1.04,0.489,50.3,0
BOS_138,-71.14088,42.27651,6.29,14.4,0.19,0.409,45.8,0
BOS_139,-71.0151,42.23358,4.86,13.3,0.92,0.494,35.5,0
BOS_140,-71.04348,42.29542,5.17,10.8,2.87,0.491,31.3,0
BOS_141,-71.1497,42.36221,5.85,17.5,1.77,0.48,37.0,1
BOS_142,-71.09935,42.38922,5.73,12.2,1.64,0.561,32.9,0
BOS_143,-71.04962,42.36471,6.96,12.5,0.16,0.604,47.8,1
BOS_144,-71.03179,42.27578,7.73,7.1,0.47,0.47,58.8,0
BOS_145,-71.03744,42.35289,6.02,22.0,2.76,0.482,20.9,1
BOS_146,-70.89431,42.23379,6.98,18.7,1.84,0.497,31.5,0
BOS_147,-70.94135,42.37198,4.88,12.4,0.37,0.621,34.2,0
BOS_148,-70.89759,42.25197,6.04,18.6,0.49,0.403,36.8,0
BOS_149,-70.83792,42.276,5.85,19.8,0.27,0.6,30.7,0
BOS_150,-70.86028,42.34364,7.52,18.2,0.52,0.426,48.8,0
BOS_151,-70.89365,42.39929,6.48,6.9,1.84,0.535,43.9,0
BOS_152,-70.89471,42.37839,4.9,10.1,0.43,0.43,32.7,0
BOS_153,-70.9244,42.31159,5.49,13.6,1.03,0.524,30.1,0
BOS_154,-71.14101,42.30212,5.36,9.0,0.09,0.47,43.2,0
BOS_155,-70.84092,42.37951,6.86,12.8,1.16,0.366,45.5,0
BOS_156,-71.01779,42.36233,5.65,11.5,1.75,0.642,34.2,0
BOS_157,-71.04078,42.26274,5.79,20.6,2.16,0.385,28.4,0
BOS_158,-70.85768,42.34648,7.76,4.4,3.65,0.395,55.3,0
BOS_159,-71.12925,42.30219,7.16,8.5,0.09,0.547,46.1,0
BOS_160,-71.14775,42.35935,7.36,2,0.6,0.591,57.1,1
BOS_161,-70.93312,42.2643,5.91,17.6,0.34,0.413,33.2,0
BOS_162,-70.88172,42.33801,6.21,16.1,1.13,0.518,32.3,0
BOS_163,-71.13746,42.28223,6.53,11.5,2.38,0.631,34.4,0
BOS_164,-71.02506,42.23186,6.92,15.0,1.18,0.572,37.5,0
BOS_165,-70.93496,42.3625,5.25,11.9,0.06,0.556,34.8,0
BOS_166,-70.86304,42.40941,6.61,24.1,0.91,0.442,29.7,0
BOS_167,-71.09868,42.34154,6.0,10.4,0.46,0.596,44.3,0
BOS_168,-70.98102,42.27685,6.03,2,2.1,0.516,49.8,0
BOS_169,-70.99905,42.25552,6.62,13.1,0.14,0.536,46.6,0
BOS_170,-70.92078,42.39672,5.31,9.9,0.95,0.68,34.8,0
BOS_171,-71.07732,42.39068,5.69,5.5,1.44,0.757,43.0,0
BOS_172,-70.95333,42.37368,7.24,14.7,0.26,0.535,46.4,0
BOS_173,-70.93585,42.30856,6.31,23.4,0.04,0.514,26.6,0
BOS_174,-71.01533,42.31874,7.0,17.7,0.13,0.388,47.0,0
BOS_175,-71.12496,42.26029,6.93,8.0,2.22,0.516,42.6,0
BOS_176,-70.84021,42.32468,5.76,7.3,0.08,0.484,45.8,0
BOS_177,-70.87055,42.23467,5.23,8.8,0.5,0.41,34.5,0
BOS_178,-70.88869,42.25768,5.34,20.2,1.08,0.594,16.9,0
BOS_179,-70.97609,42.23104,6.66,19.2,3.01,0.498,28.0,0
BOS_180,-70.92564,42.40233,7.14,8.9,0.05,0.497,49.7,0
