id,lon,lat,duration_min,start_lon,start_lat,end_lon,end_lat,hour
BIKE_052,-87.66031,41.86233,70.32,-87.66031,41.86233,-87.64079,41.83185,13
BIKE_053,-87.6495,41.90013,42.52,-87.6495,41.90013,-87.61459,41.89754,0
BIKE_054,-87.61739,41.86113,59.13,-87.61739,41.86113,-87.62077,41.88557,18
BIKE_055,-87.63881,41.91895,65.39,-87.63881,41.91895,-87.66567,41.93863,20
BIKE_056,-87.66363,41.85164,54.32,-87.66363,41.85164,-87.67975,41.84853,12
BIKE_057,-87.57756,41.89217,59.03,-87.57756,41.89217,-87.58112,41.8732,15
BIKE_058,-87.60894,41.89054,61.86,-87.60894,41.89054,-87.56325,41.89925,23
BIKE_059,-87.58693,41.89034,61.06,-87.58693,41.89034,-87.60613,41.92902,12
BIKE_060,-87.63989,41.86213,59.81,-87.63989,41.86213,-87.61922,41.83448,12
BIKE_061,-87.61394,41.90966,60.81,-87.61394,41.90966,-87.62055,41.87371,19
BIKE_062,-87.59811,41.89732,51.91,-87.59811,41.89732,-87.59547,41.91996,4
BIKE_063,-87.71174,41.88013,56.27,-87.71174,41.88013,-87.68979,41.90208,0
BIKE_064,-87.62855,41.87602,54.85,-87.62855,41.87602,-87.65875,41.8923,2
BIKE_065,-87.7012,41.89013,66.4,-87.7012,41.89013,-87.72622,41.88179,5
BIKE_066,-87.64611,41.91205,50.73,-87.64611,41.91205,-87.61483,41.90931,0
BIKE_067,-87.5802,41.88634,43.77,-87.5802,41.88634,-87.58886,41.90926,13
BIKE_068,-87.57455,41.93147,65.65,-87.57455,41.93147,-87.57059,41.94901,7
BIKE_069,-87.58334,41.92016,39.24,-87.58334,41.92016,-87.59866,41.89094,3
BIKE_070,-87.75228,41.88472,55.99,-87.75228,41.88472,-87.69049,41.88314,10
BIKE_071,-87.61438,41.93004,73.01,-87.61438,41.93004,-87.56783,41.90953,19
BIKE_072,-87.60536,41.90581,45.18,-87.60536,41.90581,-87.59174,41.86809,21
BIKE_073,-87.59171,41.86238,76.23,-87.59171,41.86238,-87.5985,41.87002,15
BIKE_074,-87.67896,41.82072,58.8,-87.67896,41.82072,-87.71554,41.82189,4
BIKE_075,-87.62878,41.88293,41.68,-87.62878,41.88293,-87.61249,41.90036,15
BIKE_076,-87.62225,41.86649,28.31,-87.62225,41.86649,-87.60453,41.87735,4
BIKE_077,-87.60213,41.89228,63.46,-87.60213,41.89228,-87.6132,41.91132,22
BIKE_078,-87.57651,41.87309,44.65,-87.57651,41.87309,-87.58683,41.91546,12
BIKE_079,-87.66109,41.84932,58.6,-87.66109,41.84932,-87.69123,41.84413,7
BIKE_080,-87.66949,41.90624,32.63,-87.66949,41.90624,-87.65401,41.89469,22
BIKE_081,-87.6923,41.90426,57.41,-87.6923,41.90426,-87.67819,41.94159,11
BIKE_082,-87.72388,41.85295,54.62,-87.72388,41.85295,-87.72806,41.83023,4
BIKE_083,-87.56692,41.87536,58.04,-87.56692,41.87536,-87.52654,41.83279,13
BIKE_084,-87.62646,41.93621,57.67,-87.62646,41.93621,-87.62178,41.96653,12
BIKE_085,-87.64474,41.87509,26.98,-87.64474,41.87509,-87.65216,41.87813,3
BIKE_086,-87.63816,41.86998,65.84,-87.63816,41.86998,-87.68127,41.8887,2
BIKE_087,-87.62281,41.88015,52.38,-87.62281,41.88015,-87.61016,41.86202,5
BIKE_088,-87.65158,41.88311,13.98,-87.65158,41.88311,-87.66204,41.85165,14
BIKE_089,-87.61807,41.88906,27.32,-87.61807,41.88906,-87.6214,41.9004,20
BIKE_090,-87.56464,41.89003,47.78,-87.56464,41.89003,-87.56472,41.90502,14
BIKE_091,-87.68241,41.8268,40.58,-87.68241,41.8268,-87.65662,41.81532,22
BIKE_092,-87.61684,41.94875,49.1,-87.61684,41.94875,-87.60597,41.91346,23
BIKE_093,-87.56164,41.88989,70.24,-87.56164,41.88989,-87.55855,41.90239,23
BIKE_094,-87.57609,41.87385,70.38,-87.57609,41.87385,-87.55819,41.84506,12
BIKE_095,-87.62177,41.8884,42.04,-87.62177,41.8884,-87.60991,41.86116,6
BIKE_096,-87.63234,41.89398,33.05,-87.63234,41.89398,-87.59936,41.88641,5
BIKE_097,-87.60457,41.86935,48.58,-87.60457,41.86935,-87.63901,41.85008,9
BIKE_098,-87.61976,41.89862,60.04,-87.61976,41.89862,-87.62774,41.92098,1
BIKE_099,-87.60353,41.83118,39.66,-87.60353,41.83118,-87.58269,41.8361,9
BIKE_100,-87.59248,41.8815,46.94,-87.59248,41.8815,-87.56781,41.89283,23
BIKE_101,-87.56718,41.87025,56.22,-87.56718,41.87025,-87.5774,41.85428,23
BIKE_102,-87.67723,41.8792,50.52,-87.67723,41.8792,-87.68264,41.8857,1
BIKE_103,-87.67365,41.87571,58.33,-87.67365,41.87571,-87.72427,41.88527,2
BIKE_104,-87.60223,41.87364,54.86,-87.60223,41.87364,-87.5653,41.89381,16
BIKE_105,-87.5807,41.83179,47.52,-87.5807,41.83179,-87.6142,41.79422,10
BIKE_106,-87.65007,41.88516,44.68,-87.65007,41.88516,-87.61627,41.89047,22
BIKE_107,-87.6342,41.8845,35.32,-87.6342,41.8845,-87.62542,41.91104,2
BIKE_108,-87.58004,41.86988,56.79,-87.58004,41.86988,-87.58044,41.90383,9
BIKE_109,-87.62361,41.80439,38.46,-87.62361,41.80439,-87.62151,41.79601,3
BIKE_110,-87.65342,41.88513,48.41,-87.65342,41.88513,-87.64441,41.86857,2
BIKE_111,-87.64727,41.9022,73.28,-87.64727,41.9022,-87.64868,41.92482,8
BIKE_112,-87.62643,41.8477,81.6,-87.62643,41.8477,-87.65362,41.87049,11
BIKE_113,-87.6382,41.89921,38.24,-87.6382,41.89921,-87.60345,41.86429,4
BIKE_114,-87.67467,41.89306,40.78,-87.67467,41.89306,-87.68997,41.91094,14
BIKE_115,-87.60931,41.87507,80.52,-87.60931,41.87507,-87.62363,41.84969,20
BIKE_116,-87.56376,41.89861,44.02,-87.56376,41.89861,-87.59425,41.90394,12
BIKE_117,-87.61442,41.89652,62.69,-87.61442,41.89652,-87.5922,41.90529,14
BIKE_118,-87.64803,41.85572,31.8,-87.64803,41.85572,-87.64194,41.85972,5
BIKE_119,-87.64749,41.87234,16.72,-87.64749,41.87234,-87.60971,41.85634,6
BIKE_120,-87.6419,41.88635,38.79,-87.6419,41.88635,-87.61343,41.894,3
BIKE_121,-87.56603,41.87851,54.12,-87.56603,41.87851,-87.5503,41.89721,20
BIKE_122,-87.61821,41.91786,75.8,-87.61821,41.91786,-87.62151,41.95147,13
BIKE_123,-87.60221,41.9006,48.6,-87.60221,41.9006,-87.60092,41.90478,21
BIKE_124,-87.65698,41.89065,53.71,-87.65698,41.89065,-87.64462,41.88941,22
BIKE_125,-87.61367,41.85015,54.7,-87.61367,41.85015,-87.60185,41.89137,5
BIKE_126,-87.62146,41.86844,61.19,-87.62146,41.86844,-87.63471,41.86868,11
BIKE_127,-87.65398,41.91213,43.87,-87.65398,41.91213,-87.69665,41.90438,22
BIKE_128,-87.71144,41.90562,24.77,-87.71144,41.90562,-87.73133,41.86633,6
BIKE_129,-87.66163,41.91933,60.46,-87.66163,41.91933,-87.67808,41.90751,23
BIKE_130,-87.63294,41.83104,46.52,-87.63294,41.83104,-87.61989,41.82012,10
BIKE_131,-87.6242,41.94004,76.0,-87.6242,41.94004,-87.64942,41.9535,0
BIKE_132,-87.53442,41.87469,63.28,-87.53442,41.87469,-87.56213,41.8578,1
BIKE_133,-87.67028,41.89634,90.9,-87.67028,41.89634,-87.69783,41.90842,5
BIKE_134,-87.65249,41.86759,52.44,-87.65249,41.86759,-87.63672,41.84627,11
BIKE_135,-87.72007,41.88211,47.5,-87.72007,41.88211,-87.69656,41.86783,3
BIKE_136,-87.64812,41.83878,35.17,-87.64812,41.83878,-87.64111,41.8238,16
BIKE_137,-87.58994,41.90678,47.8,-87.58994,41.90678,-87.56515,41.89689,11
BIKE_138,-87.60616,41.91615,35.82,-87.60616,41.91615,-87.61267,41.93333,13
BIKE_139,-87.68051,41.84893,32.58,-87.68051,41.84893,-87.63025,41.83239,3
BIKE_140,-87.5576,41.87842,67.26,-87.5576,41.87842,-87.53562,41.86308,15
BIKE_141,-87.65747,41.87999,29.02,-87.65747,41.87999,-87.69151,41.87212,16
BIKE_142,-87.63899,41.87622,46.11,-87.63899,41.87622,-87.61369,41.87996,12
BIKE_143,-87.58659,41.92445,69.47,-87.58659,41.92445,-87.56447,41.91877,14
BIKE_144,-87.69331,41.90892,42.95,-87.69331,41.90892,-87.73269,41.92828,7
BIKE_145,-87.62815,41.85635,49.44,-87.62815,41.85635,-87.63978,41.84195,13
BIKE_146,-87.63169,41.87757,53.25,-87.63169,41.87757,-87.63518,41.91246,16
BIKE_147,-87.61839,41.8973,31.63,-87.61839,41.8973,-87.65061,41.94082,13
BIKE_148,-87.62447,41.96073,57.6,-87.62447,41.96073,-87.59083,41.97776,18
BIKE_149,-87.69333,41.8159,65.3,-87.69333,41.8159,-87.72449,41.83641,12
BIKE_150,-87.59021,41.85949,43.65,-87.59021,41.85949,-87.58582,41.86698,20
BIKE_151,-87.67496,41.8535,43.05,-87.67496,41.8535,-87.6707,41.80905,17
BIKE_152,-87.61091,41.90226,52.85,-87.61091,41.90226,-87.60776,41.93646,4
BIKE_153,-87.62503,41.92633,54.09,-87.62503,41.92633,-87.61614,41.92245,12
BIKE_154,-87.56571,41.88773,71.17,-87.56571,41.88773,-87.5694,41.88994,20
BIKE_155,-87.65532,41.90018,42.47,-87.65532,41.90018,-87.67361,41.89686,12
BIKE_156,-87.6225,41.83634,44.52,-87.6225,41.83634,-87.56477,41.81648,18
BIKE_157,-87.67096,41.88975,44.6,-87.67096,41.88975,-87.65948,41.88523,4
BIKE_158,-87.64719,41.94232,64.62,-87.64719,41.94232,-87.63112,41.91773,12
BIKE_159,-87.57159,41.92311,65.8,-87.57159,41.92311,-87.59632,41.93502,20
BIKE_160,-87.57588,41.9011,40.78,-87.57588,41.9011,-87.56057,41.9316,5
BIKE_161,-87.66962,41.86043,80.94,-87.66962,41.86043,-87.68861,41.83661,1
BIKE_162,-87.60285,41.89846,22.15,-87.60285,41.89846,-87.53616,41.89684,16
BIKE_163,-87.63236,41.87642,15.77,-87.63236,41.87642,-87.63021,41.88101,0
BIKE_164,-87.69724,41.87427,53.0,-87.69724,41.87427,-87.67395,41.87821,4
BIKE_165,-87.63582,41.88914,73.76,-87.63582,41.88914,-87.61749,41.88331,15
BIKE_166,-87.62449,41.89251,44.33,-87.62449,41.89251,-87.65956,41.8569,13
BIKE_167,-87.61504,41.84978,48.8,-87.61504,41.84978,-87.60964,41.86132,21
BIKE_168,-87.59391,41.84073,56.79,-87.59391,41.84073,-87.59668,41.84786,5
BIKE_169,-87.68129,41.90035,14.23,-87.68129,41.90035,-87.73291,41.90351,13
BIKE_170,-87.65619,41.86641,47.0,-87.65619,41.86641,-87.64536,41.8565,11
BIKE_171,-87.6121,41.85017,65.11,-87.6121,41.85017,-87.59819,41.85493,1
BIKE_172,-87.6005,41.87404,32.78,-87.6005,41.87404,-87.58223,41.90918,16
BIKE_173,-87.69833,41.87557,52.96,-87.69833,41.87557,-87.68892,41.89154,5
BIKE_174,-87.63973,41.88908,42.02,-87.63973,41.88908,-87.65984,41.89097,10
BIKE_175,-87.65008,41.86198,27.94,-87.65008,41.86198,-87.64278,41.88721,10
BIKE_176,-87.58868,41.85711,34.68,-87.58868,41.85711,-87.56634,41.84792,8
BIKE_177,-87.63318,41.86474,14.54,-87.63318,41.86474,-87.62001,41.83682,18
BIKE_178,-87.5973,41.86039,50.51,-87.5973,41.86039,-87.61915,41.85474,15
BIKE_179,-87.60603,41.7887,50.39,-87.60603,41.7887,-87.61735,41.79359,5
BIKE_180,-87.673,41.85612,50.27,-87.673,41.85612,-87.66783,41.89088,18
BIKE_181,-87.62218,41.9459,47.5,-87.62218,41.9459,-87.63246,41.9834,12
BIKE_182,-87.58194,41.88854,36.59,-87.58194,41.88854,-87.58584,41.91095,13
BIKE_183,-87.6254,41.87598,38.15,-87.6254,41.87598,-87.62481,41.85576,17
BIKE_184,-87.62281,41.84541,62.08,-87.62281,41.84541,-87.61667,41.86861,20
BIKE_185,-87.63469,41.89494,48.44,-87.63469,41.89494,-87.65905,41.91469,0
BIKE_186,-87.61785,41.93531,80.65,-87.61785,41.93531,-87.55708,41.95599,7
BIKE_187,-87.67911,41.88939,58.57,-87.67911,41.88939,-87.65951,41.87834,17
BIKE_188,-87.53691,41.87542,57.86,-87.53691,41.87542,-87.55121,41.87753,9
BIKE_189,-87.64892,41.90389,56.09,-87.64892,41.90389,-87.68366,41.88008,8
BIKE_190,-87.65885,41.81526,43.44,-87.65885,41.81526,-87.66517,41.81049,18
BIKE_191,-87.60947,41.93938,24.74,-87.60947,41.93938,-87.63274,41.95065,3
BIKE_192,-87.65939,41.87697,32.76,-87.65939,41.87697,-87.65538,41.8704,15
BIKE_193,-87.56242,41.88355,61.6,-87.56242,41.88355,-87.56539,41.89152,17
BIKE_194,-87.61474,41.8608,32.22,-87.61474,41.8608,-87.65402,41.85812,15
BIKE_195,-87.64487,41.88453,50.9,-87.64487,41.88453,-87.63512,41.92065,6
BIKE_196,-87.66638,41.88212,59.94,-87.66638,41.88212,-87.70534,41.86485,9
BIKE_197,-87.63303,41.86872,28.85,-87.63303,41.86872,-87.62622,41.86099,4
BIKE_198,-87.62259,41.90798,79.81,-87.62259,41.90798,-87.63044,41.8733,6
BIKE_199,-87.63588,41.90859,56.58,-87.63588,41.90859,-87.65986,41.86328,18
BIKE_200,-87.64346,41.8664,67.67,-87.64346,41.8664,-87.67246,41.86891,5
BIKE_201,-87.54539,41.87641,66.96,-87.54539,41.87641,-87.56824,41.87282,3
BIKE_202,-87.61497,41.87443,42.21,-87.61497,41.87443,-87.60901,41.85061,1
BIKE_203,-87.63066,41.85311,55.19,-87.63066,41.85311,-87.60727,41.85908,13
BIKE_204,-87.62105,41.89825,55.36,-87.62105,41.89825,-87.60306,41.87937,3
BIKE_205,-87.66023,41.86187,30.36,-87.66023,41.86187,-87.64321,41.85828,1
BIKE_206,-87.58863,41.85595,51.3,-87.58863,41.85595,-87.55789,41.84936,22
BIKE_207,-87.54826,41.87362,35.38,-87.54826,41.87362,-87.51555,41.89297,22
BIKE_208,-87.63311,41.90023,53.09,-87.63311,41.90023,-87.65564,41.89386,23
BIKE_209,-87.57765,41.89919,50.19,-87.57765,41.89919,-87.54847,41.88391,23
BIKE_210,-87.65968,41.94143,50.93,-87.65968,41.94143,-87.63798,41.9531,14
BIKE_211,-87.61911,41.88302,51.87,-87.61911,41.88302,-87.64137,41.88588,5
BIKE_212,-87.54849,41.87007,62.11,-87.54849,41.87007,-87.51138,41.88867,15
BIKE_213,-87.62772,41.84991,41.33,-87.62772,41.84991,-87.62753,41.85953,0
BIKE_214,-87.74122,41.84248,59.36,-87.74122,41.84248,-87.76745,41.84808,3
BIKE_215,-87.61045,41.92381,65.91,-87.61045,41.92381,-87.62534,41.94376,11
BIKE_216,-87.59921,41.87852,35.77,-87.59921,41.87852,-87.59719,41.8971,22
BIKE_217,-87.62683,41.8618,65.67,-87.62683,41.8618,-87.65259,41.82748,19
BIKE_218,-87.66158,41.88234,28.72,-87.66158,41.88234,-87.6659,41.89464,7
BIKE_219,-87.59706,41.87106,43.02,-87.59706,41.87106,-87.61578,41.87126,23
BIKE_220,-87.64418,41.84998,51.76,-87.64418,41.84998,-87.63377,41.86709,3
BIKE_221,-87.64863,41.93999,43.38,-87.64863,41.93999,-87.6718,41.90136,14
BIKE_222,-87.54851,41.87513,64.96,-87.54851,41.87513,-87.4996,41.86469,18
BIKE_223,-87.60082,41.79678,73.8,-87.60082,41.79678,-87.60346,41.80218,16
BIKE_224,-87.6526,41.82571,69.13,-87.6526,41.82571,-87.62152,41.79331,11
BIKE_225,-87.65885,41.86106,88.48,-87.65885,41.86106,-87.69688,41.86127,14
BIKE_226,-87.65047,41.84687,45.26,-87.65047,41.84687,-87.61951,41.85893,2
BIKE_227,-87.59059,41.88164,47.47,-87.59059,41.88164,-87.57087,41.88579,18
BIKE_228,-87.59693,41.90432,63.97,-87.59693,41.90432,-87.59619,41.90754,4
BIKE_229,-87.64105,41.86558,59.89,-87.64105,41.86558,-87.61765,41.84266,17
BIKE_230,-87.62047,41.89052,43.56,-87.62047,41.89052,-87.53825,41.89924,2
BIKE_231,-87.57988,41.87806,53.71,-87.57988,41.87806,-87.56263,41.87187,21
BIKE_232,-87.65732,41.85615,56.67,-87.65732,41.85615,-87.65966,41.85495,9
BIKE_233,-87.59616,41.89488,64.22,-87.59616,41.89488,-87.56404,41.86948,4
BIKE_234,-87.64086,41.86172,62.55,-87.64086,41.86172,-87.61692,41.85905,18
BIKE_235,-87.61394,41.90992,42.63,-87.61394,41.90992,-87.59619,41.94184,13
BIKE_236,-87.58972,41.90082,43.89,-87.58972,41.90082,-87.61752,41.89337,11
BIKE_237,-87.66455,41.85184,56.88,-87.66455,41.85184,-87.66956,41.85438,17
BIKE_238,-87.56269,41.88846,57.01,-87.56269,41.88846,-87.55543,41.91776,18
BIKE_239,-87.66884,41.86439,49.4,-87.66884,41.86439,-87.69994,41.85746,9
BIKE_240,-87.55708,41.89912,65.7,-87.55708,41.89912,-87.5306,41.86611,16
BIKE_241,-87.61428,41.87028,51.24,-87.61428,41.87028,-87.56998,41.88297,20
BIKE_242,-87.58797,41.90511,58.46,-87.58797,41.90511,-87.61701,41.89053,3
BIKE_243,-87.70444,41.87731,27.57,-87.70444,41.87731,-87.70499,41.87072,6
BIKE_244,-87.68113,41.87607,57.95,-87.68113,41.87607,-87.6839,41.89865,4
BIKE_245,-87.66501,41.87186,62.29,-87.66501,41.87186,-87.66218,41.87171,15
BIKE_246,-87.64909,41.86592,57.89,-87.64909,41.86592,-87.64319,41.88357,7
BIKE_247,-87.66319,41.88963,66.3,-87.66319,41.88963,-87.64974,41.87083,1
BIKE_248,-87.5998,41.86865,40.48,-87.5998,41.86865,-87.59817,41.87232,8
BIKE_249,-87.55274,41.89975,29.58,-87.55274,41.89975,-87.53077,41.87832,13
BIKE_250,-87.62492,41.88499,65.59,-87.62492,41.88499,-87.59282,41.88639,22
