county,lon,lat,births,sids_deaths,poverty_pct,sids_rate
NC County 069,-77.74791,36.0501,3759,10,27.2,2.66
NC County 070,-77.0066,36.04186,4002,5,6.6,1.25
NC County 071,-84.19644,36.44065,2393,4,12.3,1.67
NC County 072,-83.39768,36.45533,4044,9,18.6,2.23
NC County 073,-82.75543,36.34514,3597,5,10.7,1.39
NC County 074,-81.85499,36.40736,2444,5,19.8,2.05
NC County 075,-81.11456,36.41951,1491,4,16.4,2.68
NC County 076,-80.24552,36.38657,3005,7,29.8,2.33
NC County 077,-79.59795,36.44593,2158,5,14.0,2.32
NC County 078,-78.76094,36.44099,1258,5,30.1,3.97
NC County 079,-77.79872,36.39745,3232,5,6,1.55
NC County 080,-77.17661,36.4119,3147,8,24.2,2.54
NC County 081,-84.14624,36.77626,3565,10,26.5,2.81
NC County 082,-83.37463,36.80297,1052,2,10.2,1.9
NC County 083,-82.77075,36.72438,3552,8,15.1,2.25
NC County 084,-81.80284,36.75714,2622,5,22.0,1.91
NC County 085,-81.06369,36.80483,1911,6,20.6,3.14
NC County 086,-80.24211,36.82139,3696,9,29.5,2.44
NC County 087,-79.55863,36.7113,2649,6,15.5,2.27
NC County 088,-78.68447,36.7202,2095,5,26.2,2.39
NC County 089,-77.94429,36.87363,1356,5,17.2,3.69
NC County 090,-77.29584,36.85973,3591,6,17.0,1.67
NC County 091,-84.13746,37.20984,2812,6,29.4,2.13
NC County 092,-83.39305,37.20941,1037,5,26.4,4.82
NC County 093,-82.61748,37.1478,4084,8,17.3,1.96
NC County 094,-81.98545,37.09271,1904,6,19.5,3.15
NC County 095,-81.04019,37.23885,1542,5,21.6,3.24
NC County 096,-80.43865,37.11763,1400,2,20.4,1.43
NC County 097,-79.5355,37.14916,2276,3,16.9,1.32
NC County 098,-78.74402,37.16591,2674,5,11.5,1.87
NC County 099,-77.9816,37.15051,1396,3,14.1,2.15
NC County 100,-77.16034,37.20799,3928,9,23.8,2.29
