trip_id,pickup_zone,dropoff_zone,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,distance_km,duration_min,fare_usd,tip_pct,hour,passengers
TAXI_0046,Harlem,LaGuardia,-73.97172,40.79978,-73.87847,40.79494,7.95,36.9,35.09,11.1,22,4
TAXI_0047,Times Square,Wall St,-73.9969,40.78529,-73.99944,40.67616,12.11,65.1,52.83,33.9,2,4
TAXI_0048,Times Square,Harlem,-73.99098,40.76466,-73.96996,40.81903,6.29,25.6,29.19,17.4,2,2
TAXI_0049,Queens,Williamsburg,-73.7996,40.71902,-73.94343,40.69069,12.62,50.2,52.61,23.4,2,5
TAXI_0050,LaGuardia,Harlem,-73.87949,40.76874,-73.9326,40.80522,6.06,38.0,28.94,20.3,17,1
TAXI_0051,Times Square,Queens,-73.96549,40.75523,-73.80689,40.71176,14.32,55.2,59.72,18.2,2,4
TAXI_0052,LaGuardia,Williamsburg,-73.86475,40.77125,-73.95399,40.69688,11.21,38.3,44.6,15.5,17,3
TAXI_0053,Times Square,LaGuardia,-73.9801,40.75038,-73.91404,40.76077,5.73,17.3,25.4,20.4,4,2
TAXI_0054,Queens,Wall St,-73.78657,40.74575,-74.00524,40.68883,19.63,89.1,80.27,14.7,9,4
TAXI_0055,Williamsburg,Queens,-73.96154,40.69383,-73.79243,40.71277,14.53,64.5,58.88,15.9,14,5
TAXI_0056,Times Square,LaGuardia,-73.97905,40.77555,-73.89574,40.77124,7.1,27.4,33.26,3.0,1,1
TAXI_0057,Harlem,LaGuardia,-73.92794,40.80882,-73.86391,40.78608,6.0,23.8,29.32,11.3,2,3
TAXI_0058,LaGuardia,Williamsburg,-73.87574,40.7877,-73.9605,40.69443,12.61,48.1,49.77,11.1,18,2
TAXI_0059,LaGuardia,Williamsburg,-73.89266,40.75549,-73.98394,40.69148,10.52,53.9,44.97,18.9,20,5
TAXI_0060,Times Square,Williamsburg,-73.99109,40.76245,-73.93385,40.70554,7.97,32.6,36.56,7.4,9,4
TAXI_0061,LaGuardia,Williamsburg,-73.88129,40.76411,-73.94559,40.70501,8.54,33.1,36.36,10.8,4,3
TAXI_0062,Queens,Williamsburg,-73.79126,40.71063,-73.90805,40.70014,10.0,46.1,44.68,13.7,7,4
TAXI_0063,JFK,Times Square,-73.7789,40.63397,-73.98241,40.79007,24.48,106.6,98.96,1.4,5,3
TAXI_0064,Harlem,Williamsburg,-73.92149,40.80248,-73.92839,40.69127,12.36,52.0,51.53,16.5,12,5
TAXI_0065,Wall St,LaGuardia,-74.00536,40.70884,-73.85761,40.79244,15.62,67.4,65.58,12.5,17,1
TAXI_0066,Queens,JFK,-73.81164,40.70192,-73.76244,40.63795,8.24,26.2,33.8,9.6,6,3
TAXI_0067,Harlem,Times Square,-73.93052,40.82645,-73.97599,40.75903,8.42,31.3,37.94,15.5,3,4
TAXI_0068,Times Square,Queens,-73.9937,40.74552,-73.801,40.73992,16.39,74.2,67.32,18.9,22,3
TAXI_0069,Queens,Wall St,-73.79363,40.72031,-74.01024,40.71201,18.43,75.7,75.5,14.1,19,3
TAXI_0070,Harlem,Times Square,-73.92786,40.7949,-73.98649,40.74002,7.87,33.5,34.8,23.2,3,4
TAXI_0071,Harlem,Times Square,-73.94252,40.81812,-74.0132,40.75677,9.08,37.1,38.98,29.0,18,5
TAXI_0072,LaGuardia,Williamsburg,-73.88046,40.79209,-73.95007,40.68598,13.18,54.1,55.42,7.5,7,1
TAXI_0073,Harlem,Williamsburg,-73.92135,40.81371,-73.95436,40.70497,12.39,54.7,52.99,6.8,15,1
TAXI_0074,Williamsburg,LaGuardia,-73.94,40.69026,-73.8767,40.79287,12.6,52.8,51.9,24.5,17,3
TAXI_0075,Harlem,Times Square,-73.94957,40.79895,-74.01784,40.74735,8.15,26.1,33.12,0,8,5
TAXI_0076,Times Square,LaGuardia,-73.98101,40.7951,-73.89237,40.7798,7.72,24.7,33.32,9.0,17,3
TAXI_0077,Times Square,JFK,-73.98408,40.74231,-73.78814,40.65242,19.42,78.5,76.51,17.6,1,3
TAXI_0078,Williamsburg,JFK,-73.96662,40.69949,-73.7621,40.64065,18.57,83.7,74.72,1.2,22,3
TAXI_0079,LaGuardia,JFK,-73.88405,40.76299,-73.794,40.64229,15.43,72.2,64.72,15.5,13,3
TAXI_0080,Williamsburg,Wall St,-73.96111,40.72749,-73.99075,40.72369,2.56,10.9,16.78,3.4,15,4
TAXI_0081,Williamsburg,LaGuardia,-73.93336,40.70853,-73.8888,40.77582,8.37,36.9,38.14,14.1,23,1
TAXI_0082,LaGuardia,Wall St,-73.8847,40.78333,-74.01655,40.74798,11.87,41.6,47.49,0.6,9,1
TAXI_0083,JFK,Times Square,-73.77687,40.63523,-73.98905,40.76939,23.39,97.8,94.46,9.1,4,5
TAXI_0084,Wall St,Times Square,-74.01465,40.70841,-73.97726,40.76611,7.15,34.8,32.19,21.5,9,5
TAXI_0085,Williamsburg,LaGuardia,-73.92953,40.72054,-73.84237,40.79783,11.34,42.0,46.53,25.9,5,2
TAXI_0086,Wall St,Times Square,-73.99512,40.70751,-73.98633,40.74666,4.41,22.2,21.79,12.6,18,1
TAXI_0087,Times Square,Williamsburg,-73.96463,40.75147,-73.94639,40.70036,5.88,19.8,24.97,10.8,22,3
TAXI_0088,Williamsburg,JFK,-73.99413,40.68668,-73.81084,40.63464,16.62,72.4,69.78,9.4,19,3
TAXI_0089,Wall St,Williamsburg,-74.00629,40.69095,-73.96278,40.68799,3.71,13.9,17.82,17.2,2,5
TAXI_0090,Wall St,Harlem,-73.97883,40.70438,-73.95116,40.807,11.63,48.1,48.85,7.9,4,2
TAXI_0091,Times Square,Harlem,-73.98631,40.73825,-73.93449,40.80825,8.93,31.8,39.11,14.8,4,5
TAXI_0092,Wall St,Queens,-74.00695,40.68952,-73.8039,40.72259,17.65,70.3,68.47,17.0,6,5
TAXI_0093,JFK,Queens,-73.7767,40.62201,-73.78201,40.72343,11.27,46.9,48.93,24.9,9,4
TAXI_0094,LaGuardia,Queens,-73.87577,40.78075,-73.84448,40.7193,7.32,26.6,33.82,6.6,12,4
TAXI_0095,JFK,Williamsburg,-73.75364,40.66911,-73.96479,40.72673,19.05,87.4,76.55,24.0,4,2
TAXI_0096,Queens,JFK,-73.79571,40.72971,-73.82794,40.61959,12.53,54.4,52.25,13.3,14,3
TAXI_0097,LaGuardia,Times Square,-73.86506,40.78767,-73.95149,40.75835,8.04,32.5,35.78,4.7,0,2
TAXI_0098,LaGuardia,JFK,-73.90191,40.77985,-73.77531,40.62347,20.42,81.3,78.76,16.6,7,5
TAXI_0099,LaGuardia,JFK,-73.89223,40.80518,-73.73406,40.6444,22.34,104.9,91.45,6.4,10,2
TAXI_0100,Times Square,LaGuardia,-73.99999,40.77492,-73.87596,40.76728,10.58,46.5,45.57,7.4,5,4
TAXI_0101,Harlem,Wall St,-73.96018,40.82391,-74.0042,40.69748,14.52,57.2,58.84,14.6,9,4
TAXI_0102,LaGuardia,Harlem,-73.8914,40.75004,-73.9384,40.80472,7.27,38.0,35.42,24.7,13,5
TAXI_0103,Harlem,LaGuardia,-73.95601,40.80339,-73.86509,40.77415,8.38,37.0,36.9,11.0,6,1
TAXI_0104,Times Square,Wall St,-73.96935,40.74922,-74.0307,40.71234,6.63,25.5,30.73,15.6,15,2
TAXI_0105,Queens,Times Square,-73.81763,40.71815,-73.94827,40.76016,12.04,53.7,52.01,16.8,7,5
TAXI_0106,Williamsburg,LaGuardia,-73.98675,40.69985,-73.86595,40.77193,13.02,58.3,54.65,13.4,11,5
TAXI_0107,Wall St,Queens,-74.02143,40.73816,-73.76541,40.7019,22.13,94.8,89.97,12.0,18,2
TAXI_0108,Williamsburg,LaGuardia,-73.94309,40.72578,-73.87168,40.7576,7.02,25.5,29.95,18.7,18,2
TAXI_0109,Wall St,Harlem,-73.99672,40.694,-73.96679,40.8104,13.17,64.6,58.45,11.9,5,3
TAXI_0110,LaGuardia,Queens,-73.89025,40.77389,-73.81538,40.74337,7.21,27.2,32.23,18.7,2,1
TAXI_0111,Queens,JFK,-73.7932,40.70526,-73.76,40.64385,7.38,38.8,32.72,10.2,19,5
TAXI_0112,Wall St,Williamsburg,-74.00963,40.70439,-73.95644,40.70605,4.52,18.8,22.41,14.0,0,5
TAXI_0113,Queens,Williamsburg,-73.74592,40.71655,-73.98556,40.71372,20.37,84.3,79.47,19.7,16,3
TAXI_0114,Queens,Times Square,-73.78544,40.72667,-73.96751,40.74802,15.66,69.4,64.87,22.0,21,1
TAXI_0115,Williamsburg,Queens,-73.95739,40.70847,-73.80286,40.71531,13.16,59.6,53.68,21.3,15,4
TAXI_0116,Williamsburg,Times Square,-73.95595,40.68277,-73.9998,40.77217,10.6,48.0,43.9,20.4,18,4
TAXI_0117,Times Square,JFK,-73.95033,40.77689,-73.79064,40.63798,20.54,92.4,83.99,22.9,0,2
TAXI_0118,Harlem,LaGuardia,-73.91251,40.81191,-73.90243,40.7724,4.47,20.0,21.05,17.8,12,5
TAXI_0119,Times Square,Wall St,-73.95141,40.75827,-74.01888,40.72841,6.62,27.2,30.04,19.3,13,2
TAXI_0120,Queens,JFK,-73.79586,40.71528,-73.75214,40.65481,7.67,30.8,34.86,22.5,14,4
TAXI_0121,LaGuardia,Times Square,-73.87134,40.76406,-73.99121,40.7653,10.19,48.9,44.31,17.8,7,1
TAXI_0122,JFK,Times Square,-73.79302,40.6538,-73.9621,40.74269,17.43,67.1,68.34,17.6,9,4
TAXI_0123,Times Square,Queens,-73.98436,40.76279,-73.79029,40.71199,17.43,75.9,71.06,19.4,17,1
TAXI_0124,Harlem,Queens,-73.93949,40.8176,-73.83,40.74263,12.48,52.8,53.2,15.6,7,5
TAXI_0125,Harlem,LaGuardia,-73.96696,40.80823,-73.88408,40.77559,7.92,37.2,34.45,19.8,9,4
TAXI_0126,Queens,JFK,-73.78235,40.70658,-73.74497,40.63832,8.22,28.8,35.3,13.4,0,4
TAXI_0127,Times Square,Harlem,-73.98296,40.73769,-73.91965,40.79778,8.57,37.9,39.14,11.5,9,3
TAXI_0128,Harlem,Williamsburg,-73.96386,40.8153,-73.94171,40.74405,8.13,31.2,34.3,14.2,18,2
TAXI_0129,Times Square,Wall St,-74.00518,40.75335,-73.97797,40.68453,7.98,42.2,35.94,21.4,17,1
TAXI_0130,Williamsburg,Wall St,-73.95679,40.71709,-74.01333,40.7138,4.82,11.2,19.74,24.2,21,4
TAXI_0131,LaGuardia,Williamsburg,-73.90019,40.77342,-73.94361,40.71642,7.32,35.1,33.24,8.0,18,4
TAXI_0132,Harlem,Queens,-73.93656,40.83666,-73.8117,40.72486,16.33,69.3,68.33,13.2,19,1
TAXI_0133,JFK,LaGuardia,-73.80952,40.63411,-73.8881,40.77436,16.94,69.9,70.26,13.9,10,4
TAXI_0134,JFK,Queens,-73.79443,40.64938,-73.78749,40.72785,8.73,30.3,37.36,18.2,14,5
TAXI_0135,Williamsburg,Harlem,-73.93946,40.7366,-73.89326,40.79995,8.05,34.3,37.28,28.3,23,2
TAXI_0136,Times Square,Queens,-73.96806,40.74447,-73.76861,40.71536,17.26,71.9,68.02,15.7,2,3
TAXI_0137,JFK,Williamsburg,-73.79755,40.66172,-73.93343,40.69551,12.14,45.0,48.06,22.2,5,5
TAXI_0138,LaGuardia,Times Square,-73.87536,40.74405,-74.00217,40.75962,10.92,50.9,46.01,12.3,0,5
TAXI_0139,LaGuardia,Wall St,-73.88879,40.76527,-74.01878,40.70333,13.01,51.4,54.25,17.9,3,5
TAXI_0140,LaGuardia,Times Square,-73.88003,40.76978,-73.96782,40.75584,7.62,41.9,36.17,10.9,19,4
TAXI_0141,Harlem,JFK,-73.96281,40.79598,-73.74969,40.6223,26.45,104.9,103.48,14.2,2,2
TAXI_0142,Times Square,JFK,-73.96174,40.7585,-73.76915,40.63589,21.29,91.4,84.77,9.5,13,2
TAXI_0143,Wall St,Williamsburg,-74.02241,40.67546,-73.96599,40.71593,6.57,26.3,28.35,15.9,14,5
TAXI_0144,JFK,Times Square,-73.76686,40.65669,-73.99168,40.76266,22.44,98.9,90.33,12.9,15,4
TAXI_0145,Williamsburg,Wall St,-73.97175,40.7023,-74.00847,40.72924,4.32,19.8,21.13,15.6,5,4
TAXI_0146,Harlem,Williamsburg,-73.92212,40.81391,-73.97744,40.68989,14.55,60.7,58.65,0,17,1
TAXI_0147,Queens,Williamsburg,-73.80966,40.71903,-73.95205,40.68773,12.59,56.6,53.82,17.2,1,4
TAXI_0148,Times Square,Queens,-73.94881,40.76187,-73.80075,40.73284,12.99,52.7,54.72,19.9,22,3
TAXI_0149,Queens,Williamsburg,-73.76639,40.71681,-73.96875,40.68981,17.46,67.5,70.49,20.1,17,3
TAXI_0150,Harlem,Queens,-73.96618,40.83069,-73.7513,40.72337,21.81,97.9,89.9,2.0,3,2
TAXI_0151,Queens,Wall St,-73.79839,40.76641,-74.0365,40.71089,21.16,86.9,85.33,17.0,7,4
TAXI_0152,Wall St,LaGuardia,-73.98062,40.69621,-73.88066,40.76372,11.33,50.4,48.84,19.3,16,3
TAXI_0153,Williamsburg,Times Square,-73.96204,40.69255,-73.97965,40.73344,4.78,15.1,23.59,32.6,20,3
TAXI_0154,Queens,JFK,-73.76829,40.73219,-73.79548,40.66691,7.61,30.1,33.39,14.5,17,5
TAXI_0155,LaGuardia,Harlem,-73.86081,40.7917,-73.96957,40.83027,10.19,37.6,40.47,7.6,0,1
TAXI_0156,Queens,LaGuardia,-73.81931,40.72772,-73.87376,40.78599,7.95,32.5,35.68,23.9,5,3
TAXI_0157,JFK,Williamsburg,-73.75887,40.63759,-73.95086,40.69774,17.63,67.8,68.0,9.1,7,4
TAXI_0158,Williamsburg,JFK,-73.97716,40.70791,-73.7789,40.63391,18.75,79.1,74.3,16.6,22,3
TAXI_0159,Queens,JFK,-73.79712,40.74283,-73.7795,40.64492,10.97,47.5,46.2,16.6,10,3
TAXI_0160,Times Square,LaGuardia,-73.99381,40.739,-73.85184,40.79104,13.38,51.1,54.91,25.2,19,2
TAXI_0161,Wall St,Times Square,-73.99934,40.70261,-74.01044,40.76638,7.14,34.2,33.76,18.9,3,2
TAXI_0162,Queens,JFK,-73.80081,40.71654,-73.78755,40.65314,7.13,28.9,30.38,16.5,17,5
TAXI_0163,Harlem,Williamsburg,-73.93676,40.79262,-73.97617,40.69817,11.01,37.2,45.13,14.3,16,2
TAXI_0164,Williamsburg,Wall St,-73.936,40.70678,-74.00322,40.7339,6.46,19.7,27.89,23.3,19,1
TAXI_0165,Harlem,JFK,-73.93042,40.84412,-73.78155,40.66008,24.03,108.3,96.87,10.0,15,1
TAXI_0166,JFK,Harlem,-73.75768,40.65125,-73.93842,40.81639,23.92,100.9,95.82,7.2,16,4
TAXI_0167,Wall St,Williamsburg,-74.01005,40.68963,-73.94176,40.70027,5.92,24.2,25.74,30.9,4,5
TAXI_0168,Times Square,Wall St,-73.96618,40.73766,-74.02479,40.69417,6.94,23.3,29.3,1.0,7,1
TAXI_0169,LaGuardia,JFK,-73.85694,40.78309,-73.78218,40.63771,17.34,71.7,70.51,14.6,0,2
TAXI_0170,Williamsburg,JFK,-73.96597,40.72594,-73.73995,40.61708,22.7,94.1,90.63,18.8,8,1
TAXI_0171,Queens,JFK,-73.78677,40.72065,-73.76169,40.63049,10.23,42.4,45.38,11.3,16,3
TAXI_0172,JFK,Wall St,-73.79324,40.64667,-74.01741,40.71927,20.69,94.1,85.7,15.4,23,5
TAXI_0173,JFK,Queens,-73.78602,40.64269,-73.7971,40.74097,10.95,47.3,48.25,24.7,1,5
TAXI_0174,Queens,Williamsburg,-73.75365,40.72734,-73.97534,40.70177,19.06,84.7,78.37,16.6,11,1
TAXI_0175,Harlem,Williamsburg,-73.93702,40.81878,-73.96314,40.72133,11.04,33.1,45.51,24.1,9,3
TAXI_0176,Times Square,JFK,-73.97705,40.75633,-73.77885,40.6468,20.78,93.4,83.43,11.4,18,4
TAXI_0177,Queens,LaGuardia,-73.80891,40.72626,-73.8965,40.77918,9.48,37.1,41.94,25.6,20,1
TAXI_0178,Times Square,JFK,-73.98214,40.75876,-73.79556,40.6404,20.59,82.2,80.07,24.3,1,2
TAXI_0179,Williamsburg,Times Square,-73.95859,40.73443,-73.96311,40.77155,4.14,13.7,20.91,3.8,2,5
TAXI_0180,JFK,Harlem,-73.74307,40.65863,-73.9194,40.82777,24.02,103.8,95.35,22.0,8,3
TAXI_0181,Queens,Wall St,-73.79785,40.72124,-74.03695,40.70137,20.44,89.5,80.73,20.6,18,1
TAXI_0182,LaGuardia,JFK,-73.84405,40.78494,-73.76078,40.62686,18.92,82.9,78.57,18.6,8,1
TAXI_0183,JFK,LaGuardia,-73.76319,40.64552,-73.88834,40.77155,17.57,67.3,68.37,19.5,22,2
TAXI_0184,Times Square,Wall St,-73.9935,40.73702,-74.01129,40.70327,4.04,32.2,22.03,10.7,23,5
TAXI_0185,LaGuardia,JFK,-73.86284,40.75234,-73.77042,40.64269,14.49,61.4,60.9,20.7,12,3
TAXI_0186,Williamsburg,Queens,-73.95764,40.71352,-73.79778,40.7014,13.65,51.6,53.38,21.6,20,4
TAXI_0187,Queens,LaGuardia,-73.79511,40.75093,-73.85494,40.77949,5.99,22.8,29.06,32.1,13,4
TAXI_0188,Wall St,JFK,-73.99621,40.69506,-73.76534,40.6227,21.2,97.7,85.47,13.3,19,5
TAXI_0189,Harlem,LaGuardia,-73.9408,40.8017,-73.8909,40.78874,4.48,15.0,19.69,11.6,20,5
TAXI_0190,LaGuardia,Williamsburg,-73.86142,40.79442,-73.95744,40.72174,11.48,48.8,49.22,4.9,11,5
TAXI_0191,Harlem,Times Square,-73.9402,40.80487,-73.97819,40.75387,6.52,30.6,32.05,17.4,15,5
TAXI_0192,Times Square,Harlem,-73.99165,40.79582,-73.94432,40.82816,5.39,26.9,25.59,23.3,1,2
TAXI_0193,Harlem,Wall St,-73.98095,40.79522,-73.98178,40.71091,9.36,36.7,40.16,20.7,18,1
TAXI_0194,Williamsburg,Queens,-73.98272,40.69729,-73.77619,40.74958,18.49,87.1,77.79,23.9,17,3
TAXI_0195,LaGuardia,Wall St,-73.91836,40.78153,-74.00755,40.70374,11.49,47.7,48.07,12.3,4,3
TAXI_0196,Williamsburg,LaGuardia,-73.93496,40.73166,-73.89096,40.77559,6.15,26.8,28.94,27.5,16,3
TAXI_0197,JFK,Times Square,-73.79354,40.63549,-74.01094,40.74713,22.25,91.1,87.14,28.2,13,4
TAXI_0198,Williamsburg,Times Square,-73.96102,40.725,-73.94339,40.74682,2.85,5,15.72,18.6,5,4
TAXI_0199,Times Square,Williamsburg,-73.96184,40.75525,-73.9653,40.70357,5.74,12.0,26.02,0,18,1
TAXI_0200,LaGuardia,Harlem,-73.83758,40.76632,-73.91442,40.7963,7.33,26.2,30.2,10.7,2,2
TAXI_0201,Times Square,Queens,-73.98511,40.77237,-73.76232,40.74687,19.15,84.6,78.28,22.8,8,2
TAXI_0202,LaGuardia,Williamsburg,-73.8868,40.78672,-73.95087,40.70865,10.23,43.1,43.19,15.0,13,4
TAXI_0203,Wall St,Times Square,-74.05618,40.69979,-73.98787,40.73026,6.72,29.5,31.41,15.4,2,1
TAXI_0204,Times Square,JFK,-73.9954,40.74358,-73.73786,40.64894,24.28,103.4,95.73,16.0,2,3
TAXI_0205,Harlem,Queens,-73.96671,40.82872,-73.81237,40.70968,18.62,81.2,75.94,14.9,10,2
TAXI_0206,LaGuardia,Wall St,-73.8716,40.7696,-74.03623,40.70462,15.74,62.2,62.4,17.2,18,5
TAXI_0207,Queens,Wall St,-73.78917,40.73574,-73.995,40.69549,18.06,77.7,73.79,13.2,0,2
TAXI_0208,LaGuardia,Williamsburg,-73.88107,40.7754,-73.94941,40.71478,8.89,33.8,37.41,6.7,2,5
TAXI_0209,Wall St,LaGuardia,-74.00719,40.69654,-73.86122,40.77854,15.39,66.0,62.87,15.9,18,1
TAXI_0210,LaGuardia,Williamsburg,-73.83983,40.77396,-73.96322,40.69838,13.43,61.6,58.54,9.5,12,5
TAXI_0211,Wall St,Harlem,-74.02122,40.69334,-73.98319,40.80239,12.53,51.0,51.0,6.2,1,5
TAXI_0212,Harlem,Queens,-73.92253,40.81817,-73.82063,40.72304,13.66,55.6,57.0,26.4,6,2
TAXI_0213,LaGuardia,JFK,-73.82807,40.7399,-73.75324,40.5971,17.08,78.5,71.1,19.7,23,1
TAXI_0214,JFK,Wall St,-73.79011,40.62466,-74.01691,40.71653,21.81,86.9,87.34,27.8,18,5
TAXI_0215,Queens,Wall St,-73.79273,40.73426,-74.00234,40.68909,18.51,75.1,75.7,19.7,3,3
TAXI_0216,Queens,Harlem,-73.78989,40.74915,-73.96945,40.80979,16.68,77.3,69.5,12.8,12,2
TAXI_0217,Harlem,Queens,-73.94233,40.80562,-73.81145,40.70538,15.73,72.3,66.24,24.6,8,3
TAXI_0218,JFK,Times Square,-73.77187,40.64619,-73.99945,40.75491,22.8,101.5,92.45,28.5,4,3
TAXI_0219,Williamsburg,Wall St,-73.9356,40.70995,-74.02465,40.70347,7.6,25.2,30.69,2.5,13,4
TAXI_0220,Queens,Harlem,-73.78064,40.74564,-73.96894,40.8034,17.24,72.1,68.89,13.2,16,5
TAXI_0221,JFK,LaGuardia,-73.77851,40.65062,-73.84213,40.78241,15.6,62.3,62.69,26.5,8,3
TAXI_0222,Queens,Wall St,-73.80875,40.70832,-74.00982,40.70848,17.09,72.7,68.83,13.4,15,5
TAXI_0223,Harlem,Times Square,-73.95047,40.7967,-73.95702,40.75656,4.49,28.3,22.65,19.2,18,2
TAXI_0224,Queens,LaGuardia,-73.79391,40.71554,-73.89565,40.77518,10.89,50.8,45.26,19.3,0,4
TAXI_0225,LaGuardia,Williamsburg,-73.90419,40.78857,-73.92795,40.71124,8.82,43.8,41.59,14.4,8,4
TAXI_0226,Wall St,Times Square,-74.03653,40.6965,-73.98228,40.75254,7.74,38.3,36.09,16.3,21,3
TAXI_0227,Harlem,Williamsburg,-73.94531,40.80211,-73.96475,40.70167,11.27,42.1,45.66,16.0,8,3
TAXI_0228,Williamsburg,Queens,-73.94086,40.72752,-73.80263,40.73458,11.78,55.0,49.54,29.9,19,4
