cell_id,x,y,lon,lat,elevation_m,ndvi,landcover
C_01_03,3,1,-105.205,39.562,2040.2,0.363,grass
C_01_04,4,1,-105.19,39.562,2069.2,0.395,grass
C_01_05,5,1,-105.175,39.562,2117.4,0.441,grass
C_01_06,6,1,-105.16,39.562,2169.1,0.499,grass
C_01_07,7,1,-105.145,39.562,2180.0,0.358,grass
C_01_08,8,1,-105.13,39.562,2224.5,0.505,grass
C_01_09,9,1,-105.115,39.562,2254.7,0.495,grass
C_01_10,10,1,-105.1,39.562,2271.8,0.462,grass
C_01_11,11,1,-105.085,39.562,2287.7,0.635,forest
C_01_12,12,1,-105.07,39.562,2311.0,0.443,grass
C_01_13,13,1,-105.055,39.562,2290.2,0.374,grass
C_01_14,14,1,-105.04,39.562,2284.9,0.48,grass
C_01_15,15,1,-105.025,39.562,2250.2,0.456,grass
C_01_16,16,1,-105.01,39.562,2261.2,0.459,grass
C_01_17,17,1,-104.995,39.562,2202.5,0.457,grass
C_01_18,18,1,-104.98,39.562,2173.3,0.367,grass
C_01_19,19,1,-104.965,39.562,2178.7,0.236,grass
C_01_20,20,1,-104.95,39.562,2108.5,0.351,grass
C_01_21,21,1,-104.935,39.562,2071.9,0.256,grass
C_01_22,22,1,-104.92,39.562,2021.5,0.075,urban
C_01_23,23,1,-104.905,39.562,2022.5,0.096,urban
C_01_24,24,1,-104.89,39.562,1940.8,0.105,urban
C_01_25,25,1,-104.875,39.562,1934.4,-0.015,urban
C_01_26,26,1,-104.86,39.562,1865.9,0.059,urban
C_01_27,27,1,-104.845,39.562,1791.0,-0.06,urban
C_01_28,28,1,-104.83,39.562,1735.9,-0.07,urban
C_01_29,29,1,-104.815,39.562,1662.3,-0.011,urban
C_01_30,30,1,-104.8,39.562,1647.8,0.181,urban
C_01_31,31,1,-104.785,39.562,1635.8,0.075,urban
C_01_32,32,1,-104.77,39.562,1495.4,0.261,grass
C_01_33,33,1,-104.755,39.562,1536.7,0.112,urban
C_01_34,34,1,-104.74,39.562,1518.0,0.107,urban
C_01_35,35,1,-104.725,39.562,1448.5,0.163,urban
C_01_36,36,1,-104.71,39.562,1442.1,0.179,urban
C_01_37,37,1,-104.695,39.562,1454.0,0.09,urban
C_01_38,38,1,-104.68,39.562,1449.8,0.282,grass
C_01_39,39,1,-104.665,39.562,1433.0,0.344,grass
C_01_40,40,1,-104.65,39.562,1456.3,0.39,grass
C_01_41,41,1,-104.635,39.562,1503.5,0.347,grass
C_02_00,0,2,-105.25,39.574,1870.8,0.344,grass
C_02_01,1,2,-105.235,39.574,1925.1,0.25,grass
C_02_02,2,2,-105.22,39.574,1934.1,0.402,grass
C_02_03,3,2,-105.205,39.574,2037.8,0.443,grass
C_02_04,4,2,-105.19,39.574,2065.9,0.275,grass
C_02_05,5,2,-105.175,39.574,2100.8,0.526,grass
C_02_06,6,2,-105.16,39.574,2101.0,0.488,grass
C_02_07,7,2,-105.145,39.574,2173.0,0.425,grass
C_02_08,8,2,-105.13,39.574,2198.8,0.553,forest
C_02_09,9,2,-105.115,39.574,2206.6,0.47,grass
C_02_10,10,2,-105.1,39.574,2290.6,0.603,forest
C_02_11,11,2,-105.085,39.574,2286.3,0.445,grass
C_02_12,12,2,-105.07,39.574,2277.3,0.489,grass
C_02_13,13,2,-105.055,39.574,2288.1,0.557,forest
C_02_14,14,2,-105.04,39.574,2279.3,0.495,grass
C_02_15,15,2,-105.025,39.574,2207.9,0.543,grass
C_02_16,16,2,-105.01,39.574,2220.6,0.346,grass
C_02_17,17,2,-104.995,39.574,2234.8,0.19,urban
C_02_18,18,2,-104.98,39.574,2200.0,0.31,grass
C_02_19,19,2,-104.965,39.574,2175.6,0.321,grass
C_02_20,20,2,-104.95,39.574,2067.1,0.175,urban
C_02_21,21,2,-104.935,39.574,2077.0,0.155,urban
C_02_22,22,2,-104.92,39.574,2056.3,0.177,urban
C_02_23,23,2,-104.905,39.574,1952.9,-0.1,urban
C_02_24,24,2,-104.89,39.574,1963.2,0.214,urban
C_02_25,25,2,-104.875,39.574,1924.3,-0.014,urban
C_02_26,26,2,-104.86,39.574,1809.2,0.116,urban
C_02_27,27,2,-104.845,39.574,1736.0,-0.004,urban
C_02_28,28,2,-104.83,39.574,1761.9,0.151,urban
C_02_29,29,2,-104.815,39.574,1701.7,-0.028,urban
C_02_30,30,2,-104.8,39.574,1570.5,-0.1,urban
C_02_31,31,2,-104.785,39.574,1628.3,0.096,urban
C_02_32,32,2,-104.77,39.574,1535.5,0.15,urban
C_02_33,33,2,-104.755,39.574,1497.5,0.155,urban
C_02_34,34,2,-104.74,39.574,1504.7,0.083,urban
C_02_35,35,2,-104.725,39.574,1460.5,0.182,urban
C_02_36,36,2,-104.71,39.574,1476.8,0.339,grass
C_02_37,37,2,-104.695,39.574,1502.5,0.161,urban
C_02_38,38,2,-104.68,39.574,1496.3,0.382,grass
C_02_39,39,2,-104.665,39.574,1435.6,0.295,grass
C_02_40,40,2,-104.65,39.574,1452.9,0.315,grass
C_02_41,41,2,-104.635,39.574,1457.7,0.451,grass
C_03_00,0,3,-105.25,39.586,1806.8,0.2,urban
C_03_01,1,3,-105.235,39.586,1927.6,0.381,grass
C_03_02,2,3,-105.22,39.586,1944.4,0.47,grass
C_03_03,3,3,-105.205,39.586,2038.1,0.358,grass
C_03_04,4,3,-105.19,39.586,2074.0,0.386,grass
C_03_05,5,3,-105.175,39.586,2094.0,0.549,grass
C_03_06,6,3,-105.16,39.586,2150.3,0.552,forest
C_03_07,7,3,-105.145,39.586,2196.3,0.411,grass
C_03_08,8,3,-105.13,39.586,2228.5,0.541,grass
C_03_09,9,3,-105.115,39.586,2204.4,0.538,grass
C_03_10,10,3,-105.1,39.586,2248.0,0.526,grass
C_03_11,11,3,-105.085,39.586,2267.2,0.582,forest
C_03_12,12,3,-105.07,39.586,2272.9,0.614,forest
C_03_13,13,3,-105.055,39.586,2292.8,0.465,grass
C_03_14,14,3,-105.04,39.586,2336.4,0.364,grass
C_03_15,15,3,-105.025,39.586,2259.9,0.269,grass
C_03_16,16,3,-105.01,39.586,2233.0,0.378,grass
C_03_17,17,3,-104.995,39.586,2227.9,0.525,grass
C_03_18,18,3,-104.98,39.586,2184.9,0.318,grass
C_03_19,19,3,-104.965,39.586,2201.2,0.179,urban
C_03_20,20,3,-104.95,39.586,2065.9,0.218,urban
C_03_21,21,3,-104.935,39.586,2112.6,0.22,grass
C_03_22,22,3,-104.92,39.586,2034.9,0.185,urban
C_03_23,23,3,-104.905,39.586,1999.0,0.105,urban
C_03_24,24,3,-104.89,39.586,1913.8,0.016,urban
C_03_25,25,3,-104.875,39.586,1875.1,0.029,urban
C_03_26,26,3,-104.86,39.586,1842.7,0.149,urban
C_03_27,27,3,-104.845,39.586,1776.0,-0.015,urban
C_03_28,28,3,-104.83,39.586,1692.8,0.078,urban
C_03_29,29,3,-104.815,39.586,1714.7,-0.1,urban
C_03_30,30,3,-104.8,39.586,1616.5,0.022,urban
C_03_31,31,3,-104.785,39.586,1570.7,0.103,urban
C_03_32,32,3,-104.77,39.586,1550.9,-0.026,urban
C_03_33,33,3,-104.755,39.586,1494.5,0.209,urban
C_03_34,34,3,-104.74,39.586,1476.3,0.268,grass
C_03_35,35,3,-104.725,39.586,1418.5,0.182,urban
C_03_36,36,3,-104.71,39.586,1441.6,0.165,urban
C_03_37,37,3,-104.695,39.586,1463.3,0.234,grass
C_03_38,38,3,-104.68,39.586,1478.8,0.255,grass
C_03_39,39,3,-104.665,39.586,1423.8,0.495,grass
C_03_40,40,3,-104.65,39.586,1428.1,0.256,grass
C_03_41,41,3,-104.635,39.586,1507.8,0.457,grass
C_04_00,0,4,-105.25,39.598,1855.0,0.327,grass
C_04_01,1,4,-105.235,39.598,1851.2,0.501,grass
C_04_02,2,4,-105.22,39.598,1936.3,0.351,grass
C_04_03,3,4,-105.205,39.598,2021.9,0.564,forest
C_04_04,4,4,-105.19,39.598,2040.7,0.414,grass
C_04_05,5,4,-105.175,39.598,2103.4,0.665,forest
C_04_06,6,4,-105.16,39.598,2174.7,0.487,grass
C_04_07,7,4,-105.145,39.598,2163.8,0.548,grass
C_04_08,8,4,-105.13,39.598,2224.0,0.609,forest
C_04_09,9,4,-105.115,39.598,2224.4,0.622,forest
C_04_10,10,4,-105.1,39.598,2223.0,0.604,forest
C_04_11,11,4,-105.085,39.598,2229.3,0.638,forest
C_04_12,12,4,-105.07,39.598,2241.8,0.482,grass
C_04_13,13,4,-105.055,39.598,2252.1,0.489,grass
C_04_14,14,4,-105.04,39.598,2249.1,0.561,forest
C_04_15,15,4,-105.025,39.598,2234.6,0.563,forest
C_04_16,16,4,-105.01,39.598,2230.6,0.362,grass
C_04_17,17,4,-104.995,39.598,2180.7,0.472,grass
C_04_18,18,4,-104.98,39.598,2178.3,0.382,grass
C_04_19,19,4,-104.965,39.598,2163.5,0.227,grass
C_04_20,20,4,-104.95,39.598,2077.5,0.482,grass
C_04_21,21,4,-104.935,39.598,2032.1,0.342,grass
C_04_22,22,4,-104.92,39.598,2022.6,0.259,grass
C_04_23,23,4,-104.905,39.598,1947.0,0.201,urban
C_04_24,24,4,-104.89,39.598,1888.0,0.017,urban
C_04_25,25,4,-104.875,39.598,1852.7,0.02,urban
C_04_26,26,4,-104.86,39.598,1805.8,0.005,urban
C_04_27,27,4,-104.845,39.598,1728.7,0.111,urban
C_04_28,28,4,-104.83,39.598,1686.6,0.167,urban
C_04_29,29,4,-104.815,39.598,1679.9,-0.013,urban
C_04_30,30,4,-104.8,39.598,1641.3,0.136,urban
C_04_31,31,4,-104.785,39.598,1558.7,0.17,urban
C_04_32,32,4,-104.77,39.598,1502.6,0.176,urban
C_04_33,33,4,-104.755,39.598,1447.5,0.253,grass
C_04_34,34,4,-104.74,39.598,1460.9,0.308,grass
C_04_35,35,4,-104.725,39.598,1420.4,0.341,grass
C_04_36,36,4,-104.71,39.598,1421.7,0.331,grass
C_04_37,37,4,-104.695,39.598,1409.5,0.274,grass
C_04_38,38,4,-104.68,39.598,1431.3,0.445,grass
C_04_39,39,4,-104.665,39.598,1459.6,0.343,grass
C_04_40,40,4,-104.65,39.598,1422.4,0.514,grass
C_04_41,41,4,-104.635,39.598,1496.4,0.471,grass
C_05_00,0,5,-105.25,39.61,1824.6,0.32,grass
C_05_01,1,5,-105.235,39.61,1857.9,0.225,grass
C_05_02,2,5,-105.22,39.61,1928.3,0.334,grass
C_05_03,3,5,-105.205,39.61,1957.9,0.393,grass
C_05_04,4,5,-105.19,39.61,2011.6,0.548,grass
C_05_05,5,5,-105.175,39.61,2083.9,0.62,forest
C_05_06,6,5,-105.16,39.61,2118.8,0.519,grass
C_05_07,7,5,-105.145,39.61,2160.8,0.416,grass
C_05_08,8,5,-105.13,39.61,2165.9,0.644,forest
C_05_09,9,5,-105.115,39.61,2193.8,0.413,grass
C_05_10,10,5,-105.1,39.61,2224.5,0.605,forest
C_05_11,11,5,-105.085,39.61,2243.8,0.581,forest
C_05_12,12,5,-105.07,39.61,2216.9,0.635,forest
C_05_13,13,5,-105.055,39.61,2252.1,0.616,forest
C_05_14,14,5,-105.04,39.61,2239.7,0.67,forest
C_05_15,15,5,-105.025,39.61,2222.1,0.566,forest
C_05_16,16,5,-105.01,39.61,2234.2,0.565,forest
C_05_17,17,5,-104.995,39.61,2170.7,0.393,grass
C_05_18,18,5,-104.98,39.61,2146.6,0.325,grass
C_05_19,19,5,-104.965,39.61,2120.8,0.362,grass
C_05_20,20,5,-104.95,39.61,2065.0,0.172,urban
C_05_21,21,5,-104.935,39.61,2024.8,0.272,grass
C_05_22,22,5,-104.92,39.61,1997.8,0.132,urban
C_05_23,23,5,-104.905,39.61,1955.3,0.3,grass
C_05_24,24,5,-104.89,39.61,1884.7,0.113,urban
C_05_25,25,5,-104.875,39.61,1811.0,0.096,urban
C_05_26,26,5,-104.86,39.61,1762.2,0.206,urban
C_05_27,27,5,-104.845,39.61,1743.7,0.118,urban
C_05_28,28,5,-104.83,39.61,1679.4,0.163,urban
C_05_29,29,5,-104.815,39.61,1610.1,0.03,urban
C_05_30,30,5,-104.8,39.61,1578.1,0.147,urban
C_05_31,31,5,-104.785,39.61,1571.3,0.107,urban
C_05_32,32,5,-104.77,39.61,1448.9,0.168,urban
C_05_33,33,5,-104.755,39.61,1453.1,0.164,urban
C_05_34,34,5,-104.74,39.61,1474.3,0.218,urban
C_05_35,35,5,-104.725,39.61,1405.8,0.292,grass
C_05_36,36,5,-104.71,39.61,1399.0,0.272,grass
C_05_37,37,5,-104.695,39.61,1413.7,0.538,grass
C_05_38,38,5,-104.68,39.61,1386.8,0.4,grass
C_05_39,39,5,-104.665,39.61,1384.6,0.482,grass
C_05_40,40,5,-104.65,39.61,1404.3,0.39,grass
C_05_41,41,5,-104.635,39.61,1461.3,0.28,grass
C_06_00,0,6,-105.25,39.622,1809.8,0.412,grass
C_06_01,1,6,-105.235,39.622,1868.8,0.357,grass
C_06_02,2,6,-105.22,39.622,1901.2,0.511,grass
C_06_03,3,6,-105.205,39.622,1930.0,0.444,grass
C_06_04,4,6,-105.19,39.622,1993.2,0.437,grass
C_06_05,5,6,-105.175,39.622,2047.7,0.706,forest
C_06_06,6,6,-105.16,39.622,2083.3,0.664,forest
C_06_07,7,6,-105.145,39.622,2112.1,0.654,forest
C_06_08,8,6,-105.13,39.622,2136.7,0.721,forest
C_06_09,9,6,-105.115,39.622,2174.0,0.639,forest
C_06_10,10,6,-105.1,39.622,2180.5,0.509,grass
C_06_11,11,6,-105.085,39.622,2217.9,0.53,grass
C_06_12,12,6,-105.07,39.622,2202.2,0.719,forest
C_06_13,13,6,-105.055,39.622,2199.5,0.705,forest
C_06_14,14,6,-105.04,39.622,2161.3,0.551,forest
C_06_15,15,6,-105.025,39.622,2208.3,0.533,grass
C_06_16,16,6,-105.01,39.622,2209.8,0.575,forest
C_06_17,17,6,-104.995,39.622,2124.5,0.555,forest
C_06_18,18,6,-104.98,39.622,2145.8,0.533,grass
C_06_19,19,6,-104.965,39.622,2102.1,0.453,grass
C_06_20,20,6,-104.95,39.622,2055.6,0.333,grass
C_06_21,21,6,-104.935,39.622,1991.1,0.32,grass
C_06_22,22,6,-104.92,39.622,1967.0,0.172,urban
C_06_23,23,6,-104.905,39.622,1907.7,0.125,urban
C_06_24,24,6,-104.89,39.622,1839.6,0.235,grass
C_06_25,25,6,-104.875,39.622,1785.0,0.197,urban
C_06_26,26,6,-104.86,39.622,1785.0,0.096,urban
C_06_27,27,6,-104.845,39.622,1665.9,0.125,urban
C_06_28,28,6,-104.83,39.622,1624.9,0.219,urban
C_06_29,29,6,-104.815,39.622,1621.2,0.212,urban
C_06_30,30,6,-104.8,39.622,1566.9,0.251,grass
C_06_31,31,6,-104.785,39.622,1509.4,0.066,urban
C_06_32,32,6,-104.77,39.622,1479.2,0.271,grass
C_06_33,33,6,-104.755,39.622,1500.3,0.137,urban
C_06_34,34,6,-104.74,39.622,1412.2,0.086,urban
C_06_35,35,6,-104.725,39.622,1421.0,0.349,grass
C_06_36,36,6,-104.71,39.622,1388.4,0.305,grass
C_06_37,37,6,-104.695,39.622,1366.5,0.379,grass
C_06_38,38,6,-104.68,39.622,1440.2,0.487,grass
C_06_39,39,6,-104.665,39.622,1376.7,0.486,grass
C_06_40,40,6,-104.65,39.622,1383.8,0.385,grass
C_06_41,41,6,-104.635,39.622,1408.2,0.54,grass
C_07_00,0,7,-105.25,39.634,1756.5,0.429,grass
C_07_01,1,7,-105.235,39.634,1804.3,0.544,grass
C_07_02,2,7,-105.22,39.634,1880.0,0.613,forest
C_07_03,3,7,-105.205,39.634,1942.6,0.511,grass
C_07_04,4,7,-105.19,39.634,1993.8,0.429,grass
C_07_05,5,7,-105.175,39.634,1998.1,0.57,forest
C_07_06,6,7,-105.16,39.634,2039.0,0.572,forest
C_07_07,7,7,-105.145,39.634,2092.2,0.749,forest
C_07_08,8,7,-105.13,39.634,2118.8,0.635,forest
C_07_09,9,7,-105.115,39.634,2173.0,0.775,forest
C_07_10,10,7,-105.1,39.634,2165.7,0.73,forest
C_07_11,11,7,-105.085,39.634,2218.5,0.746,forest
C_07_12,12,7,-105.07,39.634,2153.4,0.576,forest
C_07_13,13,7,-105.055,39.634,2169.4,0.747,forest
C_07_14,14,7,-105.04,39.634,2167.2,0.565,forest
C_07_15,15,7,-105.025,39.634,2189.3,0.417,grass
C_07_16,16,7,-105.01,39.634,2138.8,0.455,grass
C_07_17,17,7,-104.995,39.634,2149.4,0.617,forest
C_07_18,18,7,-104.98,39.634,2108.5,0.452,grass
C_07_19,19,7,-104.965,39.634,2066.8,0.371,grass
C_07_20,20,7,-104.95,39.634,2048.1,0.512,grass
C_07_21,21,7,-104.935,39.634,1954.6,0.484,grass
C_07_22,22,7,-104.92,39.634,1959.4,0.325,grass
C_07_23,23,7,-104.905,39.634,1847.1,0.304,grass
C_07_24,24,7,-104.89,39.634,1816.3,0.314,grass
C_07_25,25,7,-104.875,39.634,1801.5,0.275,grass
C_07_26,26,7,-104.86,39.634,1707.6,0.242,grass
C_07_27,27,7,-104.845,39.634,1652.3,0.186,urban
C_07_28,28,7,-104.83,39.634,1593.0,0.156,urban
C_07_29,29,7,-104.815,39.634,1611.3,0.068,urban
C_07_30,30,7,-104.8,39.634,1588.7,0.126,urban
C_07_31,31,7,-104.785,39.634,1509.4,0.086,urban
C_07_32,32,7,-104.77,39.634,1470.1,0.129,urban
C_07_33,33,7,-104.755,39.634,1377.2,0.252,grass
C_07_34,34,7,-104.74,39.634,1382.3,0.181,urban
C_07_35,35,7,-104.725,39.634,1353.2,0.34,grass
C_07_36,36,7,-104.71,39.634,1383.8,0.362,grass
C_07_37,37,7,-104.695,39.634,1316.0,0.416,grass
C_07_38,38,7,-104.68,39.634,1348.7,0.377,grass
C_07_39,39,7,-104.665,39.634,1274.7,0.37,grass
C_07_40,40,7,-104.65,39.634,1390.8,0.484,grass
C_07_41,41,7,-104.635,39.634,1403.9,0.67,forest
C_08_00,0,8,-105.25,39.646,1769.3,0.461,grass
C_08_01,1,8,-105.235,39.646,1792.1,0.495,grass
C_08_02,2,8,-105.22,39.646,1842.1,0.57,forest
C_08_03,3,8,-105.205,39.646,1883.2,0.62,forest
C_08_04,4,8,-105.19,39.646,1973.8,0.558,forest
C_08_05,5,8,-105.175,39.646,2007.7,0.654,forest
C_08_06,6,8,-105.16,39.646,2021.2,0.669,forest
C_08_07,7,8,-105.145,39.646,2058.3,0.628,forest
C_08_08,8,8,-105.13,39.646,2048.8,0.547,grass
C_08_09,9,8,-105.115,39.646,2143.5,0.562,forest
C_08_10,10,8,-105.1,39.646,2218.0,0.583,forest
C_08_11,11,8,-105.085,39.646,2134.7,0.628,forest
C_08_12,12,8,-105.07,39.646,2111.0,0.71,forest
C_08_13,13,8,-105.055,39.646,2161.9,0.517,grass
C_08_14,14,8,-105.04,39.646,2161.5,0.641,forest
C_08_15,15,8,-105.025,39.646,2154.4,0.576,forest
C_08_16,16,8,-105.01,39.646,2119.9,0.408,grass
C_08_17,17,8,-104.995,39.646,2117.1,0.593,forest
C_08_18,18,8,-104.98,39.646,2073.9,0.468,grass
C_08_19,19,8,-104.965,39.646,2027.9,0.427,grass
C_08_20,20,8,-104.95,39.646,2019.3,0.465,grass
C_08_21,21,8,-104.935,39.646,1966.1,0.362,grass
C_08_22,22,8,-104.92,39.646,1899.2,0.32,grass
C_08_23,23,8,-104.905,39.646,1878.3,0.163,urban
C_08_24,24,8,-104.89,39.646,1785.7,0.381,grass
C_08_25,25,8,-104.875,39.646,1776.9,0.182,urban
C_08_26,26,8,-104.86,39.646,1725.2,0.19,urban
C_08_27,27,8,-104.845,39.646,1668.8,0.181,urban
C_08_28,28,8,-104.83,39.646,1614.5,0.104,urban
C_08_29,29,8,-104.815,39.646,1590.0,0.266,grass
C_08_30,30,8,-104.8,39.646,1461.9,0.214,urban
C_08_31,31,8,-104.785,39.646,1484.6,0.274,grass
C_08_32,32,8,-104.77,39.646,1421.8,0.304,grass
C_08_33,33,8,-104.755,39.646,1377.3,0.277,grass
C_08_34,34,8,-104.74,39.646,1365.5,0.158,urban
C_08_35,35,8,-104.725,39.646,1366.0,0.348,grass
C_08_36,36,8,-104.71,39.646,1318.3,0.444,grass
C_08_37,37,8,-104.695,39.646,1288.8,0.375,grass
C_08_38,38,8,-104.68,39.646,1297.1,0.432,grass
C_08_39,39,8,-104.665,39.646,1336.0,0.532,grass
C_08_40,40,8,-104.65,39.646,1337.5,0.498,grass
C_08_41,41,8,-104.635,39.646,1303.0,0.473,grass
C_09_00,0,9,-105.25,39.658,1717.4,0.351,grass
C_09_01,1,9,-105.235,39.658,1770.0,0.608,forest
C_09_02,2,9,-105.22,39.658,1851.7,0.635,forest
C_09_03,3,9,-105.205,39.658,1867.5,0.763,forest
C_09_04,4,9,-105.19,39.658,1880.4,0.511,grass
C_09_05,5,9,-105.175,39.658,1973.7,0.801,forest
C_09_06,6,9,-105.16,39.658,2004.6,0.721,forest
C_09_07,7,9,-105.145,39.658,2030.8,0.673,forest
C_09_08,8,9,-105.13,39.658,2080.0,0.788,forest
C_09_09,9,9,-105.115,39.658,2094.1,0.791,forest
C_09_10,10,9,-105.1,39.658,2122.9,0.706,forest
C_09_11,11,9,-105.085,39.658,2113.9,0.851,forest
C_09_12,12,9,-105.07,39.658,2129.0,0.811,forest
C_09_13,13,9,-105.055,39.658,2111.7,0.663,forest
C_09_14,14,9,-105.04,39.658,2108.8,0.604,forest
C_09_15,15,9,-105.025,39.658,2081.4,0.53,grass
C_09_16,16,9,-105.01,39.658,2140.8,0.64,forest
C_09_17,17,9,-104.995,39.658,2046.5,0.632,forest
C_09_18,18,9,-104.98,39.658,2049.0,0.647,forest
C_09_19,19,9,-104.965,39.658,1978.0,0.604,forest
C_09_20,20,9,-104.95,39.658,1969.0,0.391,grass
C_09_21,21,9,-104.935,39.658,1911.0,0.313,grass
C_09_22,22,9,-104.92,39.658,1894.4,0.241,grass
C_09_23,23,9,-104.905,39.658,1859.6,0.406,grass
C_09_24,24,9,-104.89,39.658,1770.6,0.391,grass
C_09_25,25,9,-104.875,39.658,1731.8,0.285,grass
C_09_26,26,9,-104.86,39.658,1658.5,0.216,urban
C_09_27,27,9,-104.845,39.658,1636.8,0.328,grass
C_09_28,28,9,-104.83,39.658,1548.5,0.297,grass
C_09_29,29,9,-104.815,39.658,1511.9,0.232,grass
C_09_30,30,9,-104.8,39.658,1462.1,0.144,urban
C_09_31,31,9,-104.785,39.658,1433.7,0.259,grass
C_09_32,32,9,-104.77,39.658,1375.0,0.322,grass
C_09_33,33,9,-104.755,39.658,1356.3,0.285,grass
C_09_34,34,9,-104.74,39.658,1355.1,0.311,grass
C_09_35,35,9,-104.725,39.658,1300.7,0.393,grass
C_09_36,36,9,-104.71,39.658,1347.3,0.441,grass
C_09_37,37,9,-104.695,39.658,1262.8,0.49,grass
C_09_38,38,9,-104.68,39.658,1269.9,0.536,grass
C_09_39,39,9,-104.665,39.658,1307.9,0.492,grass
C_09_40,40,9,-104.65,39.658,1294.1,0.636,forest
C_09_41,41,9,-104.635,39.658,1318.8,0.561,forest
C_10_00,0,10,-105.25,39.67,1733.1,0.495,grass
C_10_01,1,10,-105.235,39.67,1739.6,0.395,grass
C_10_02,2,10,-105.22,39.67,1760.6,0.603,forest
C_10_03,3,10,-105.205,39.67,1846.0,0.449,grass
C_10_04,4,10,-105.19,39.67,1879.2,0.691,forest
C_10_05,5,10,-105.175,39.67,1872.2,0.696,forest
C_10_06,6,10,-105.16,39.67,2018.1,0.6,forest
C_10_07,7,10,-105.145,39.67,2020.7,0.736,forest
C_10_08,8,10,-105.13,39.67,2077.3,0.745,forest
C_10_09,9,10,-105.115,39.67,2077.1,0.827,forest
C_10_10,10,10,-105.1,39.67,2145.6,0.721,forest
C_10_11,11,10,-105.085,39.67,2079.2,0.893,forest
C_10_12,12,10,-105.07,39.67,2110.5,0.668,forest
C_10_13,13,10,-105.055,39.67,2102.7,0.735,forest
C_10_14,14,10,-105.04,39.67,2127.1,0.838,forest
C_10_15,15,10,-105.025,39.67,2080.2,0.706,forest
C_10_16,16,10,-105.01,39.67,2066.1,0.693,forest
C_10_17,17,10,-104.995,39.67,2055.7,0.633,forest
C_10_18,18,10,-104.98,39.67,1990.3,0.418,grass
C_10_19,19,10,-104.965,39.67,1954.1,0.583,forest
C_10_20,20,10,-104.95,39.67,1918.3,0.552,forest
C_10_21,21,10,-104.935,39.67,1875.2,0.323,grass
C_10_22,22,10,-104.92,39.67,1874.8,0.338,grass
C_10_23,23,10,-104.905,39.67,1812.6,0.256,grass
C_10_24,24,10,-104.89,39.67,1743.0,0.3,grass
C_10_25,25,10,-104.875,39.67,1719.1,0.409,grass
C_10_26,26,10,-104.86,39.67,1666.1,0.395,grass
C_10_27,27,10,-104.845,39.67,1622.7,0.192,urban
C_10_28,28,10,-104.83,39.67,1532.2,0.192,urban
