sample,species,sepal_length,sepal_width,petal_length,petal_width,lon,lat
versicolor_19,versicolor,5.7,2.94,3.83,1.42,-122.24701,37.76024
versicolor_20,versicolor,5.56,2.48,4.0,1.55,-122.25115,37.74234
versicolor_21,versicolor,6.01,2.43,3.83,1.1,-122.25099,37.75911
versicolor_22,versicolor,6.05,2.97,3.97,1.38,-122.25453,37.76288
versicolor_23,versicolor,6.08,2.52,4.47,1.67,-122.23194,37.76652
versicolor_24,versicolor,5.25,3.09,3.79,1.01,-122.257,37.74059
versicolor_25,versicolor,5.34,3.06,4.51,1.39,-122.2192,37.74354
versicolor_26,versicolor,5.83,2.64,4.1,0.92,-122.23946,37.77018
versicolor_27,versicolor,6.62,2.82,4.26,1.33,-122.24021,37.78027
versicolor_28,versicolor,5.0,2.32,4.42,1.16,-122.23416,37.74633
versicolor_29,versicolor,6.15,3.1,4.25,0.99,-122.23003,37.76759
versicolor_30,versicolor,6.22,2.9,4.31,1.35,-122.23139,37.7714
versicolor_31,versicolor,6.09,2.7,4.54,1.42,-122.21902,37.76721
versicolor_32,versicolor,5.99,3.06,4.33,1.22,-122.22802,37.7622
versicolor_33,versicolor,6.29,2.87,4.04,1.39,-122.23391,37.76771
versicolor_34,versicolor,5.63,2.8,3.85,1.35,-122.24867,37.74792
versicolor_35,versicolor,6.0,2.51,4.24,1.34,-122.22431,37.76317
versicolor_36,versicolor,7.05,2.7,3.97,1.0,-122.24976,37.79442
versicolor_37,versicolor,6.33,3.14,4.45,1.44,-122.21417,37.7628
versicolor_38,versicolor,6.83,2.87,3.77,0.95,-122.24682,37.78977
versicolor_39,versicolor,5.91,2.29,4.34,1.18,-122.21736,37.77615
versicolor_40,versicolor,5.9,2.42,4.25,1.39,-122.24112,37.75706
versicolor_41,versicolor,6.41,2.51,3.99,1.58,-122.24269,37.77267
versicolor_42,versicolor,5.75,2.69,4.31,1.45,-122.22828,37.75642
versicolor_43,versicolor,6.37,2.26,3.64,1.19,-122.24942,37.77355
versicolor_44,versicolor,6.19,2.81,3.82,1.31,-122.23432,37.76715
versicolor_45,versicolor,6.32,2.76,4.16,1.21,-122.24736,37.78139
versicolor_46,versicolor,5.91,3.14,3.9,0.97,-122.24201,37.75926
versicolor_47,versicolor,5.17,2.32,4.05,1.26,-122.24506,37.75121
versicolor_48,versicolor,6.06,2.6,3.74,1.1,-122.24536,37.76957
versicolor_49,versicolor,5.53,3.01,4.74,1.29,-122.21995,37.73707
versicolor_50,versicolor,6.15,2.61,4.28,1.45,-122.23444,37.77433
virginica_01,virginica,6.35,3.35,5.83,1.87,-122.17185,37.77633
virginica_02,virginica,7.24,2.84,5.78,2.32,-122.18811,37.80317
virginica_03,virginica,6.95,3.13,5.09,2.22,-122.21244,37.78595
virginica_04,virginica,6.63,2.79,5.01,1.87,-122.21672,37.78667
virginica_05,virginica,6.72,3.21,5.64,1.84,-122.18948,37.77608
virginica_06,virginica,6.46,3.16,6.13,2.38,-122.17082,37.77435
virginica_07,virginica,6.51,2.69,5.32,2.33,-122.20216,37.78224
virginica_08,virginica,6.54,3.3,5.32,2.2,-122.19894,37.77826
virginica_09,virginica,6.04,2.67,6.08,2.13,-122.17504,37.76516
virginica_10,virginica,7.17,2.97,5.51,2.04,-122.18966,37.79874
virginica_11,virginica,6.55,2.93,4.26,1.91,-122.23482,37.78137
virginica_12,virginica,6.93,2.84,6.09,2.23,-122.16809,37.79576
virginica_13,virginica,5.91,2.81,5.21,2.0,-122.19976,37.76275
virginica_14,virginica,7.1,3.25,5.64,2.16,-122.20158,37.79937
virginica_15,virginica,5.85,3.04,4.87,1.91,-122.21569,37.76181
virginica_16,virginica,6.65,2.77,6.3,2.12,-122.16308,37.79026
virginica_17,virginica,6.31,2.87,6.1,2.34,-122.16792,37.76966
virginica_18,virginica,6.43,2.9,5.64,2.0,-122.19208,37.77084
virginica_19,virginica,6.13,3.29,5.53,2.14,-122.20333,37.76481
virginica_20,virginica,6.26,3.48,5.2,1.79,-122.2015,37.77375
virginica_21,virginica,6.84,2.91,5.41,2.04,-122.19963,37.78253
virginica_22,virginica,6.25,2.99,5.97,1.96,-122.18247,37.77303
virginica_23,virginica,7.58,3.24,5.64,1.42,-122.18148,37.81258
virginica_24,virginica,6.13,3.39,4.99,2.13,-122.20635,37.76559
virginica_25,virginica,7.04,3.4,5.53,1.96,-122.19329,37.78483
virginica_26,virginica,6.55,3.2,5.13,2.06,-122.20151,37.79043
virginica_27,virginica,6.08,2.76,6.06,1.76,-122.18886,37.7629
virginica_28,virginica,6.31,2.32,4.95,1.81,-122.2158,37.77778
virginica_29,virginica,7.12,3.02,5.37,2.0,-122.19648,37.7992
virginica_30,virginica,6.99,2.84,5.27,1.94,-122.21542,37.78994
virginica_31,virginica,7.39,3.05,5.78,2.24,-122.1832,37.80794
virginica_32,virginica,6.66,3.19,5.75,2.11,-122.17637,37.785
virginica_33,virginica,6.44,3.2,5.56,2.24,-122.17946,37.77702
virginica_34,virginica,6.11,2.82,5.41,2.48,-122.19426,37.7693
virginica_35,virginica,6.54,2.87,5.11,2.03,-122.20913,37.7859
virginica_36,virginica,6.42,3.03,6.32,1.68,-122.17598,37.79819
virginica_37,virginica,6.33,3.45,4.87,2.13,-122.21305,37.78425
virginica_38,virginica,6.15,3.1,5.91,1.76,-122.1724,37.77397
virginica_39,virginica,6.54,3.4,5.68,2.12,-122.17937,37.78254
virginica_40,virginica,6.12,3.5,5.76,2.34,-122.19168,37.781
virginica_41,virginica,6.37,3.03,5.68,1.64,-122.1846,37.78278
virginica_42,virginica,6.86,3.0,4.85,1.71,-122.21557,37.78564
virginica_43,virginica,6.71,2.68,5.99,1.94,-122.18208,37.78554
virginica_44,virginica,7.15,3.35,5.22,2.17,-122.20145,37.80308
virginica_45,virginica,7.65,2.8,5.73,2.25,-122.18934,37.81982
virginica_46,virginica,6.39,2.85,5.42,2.23,-122.19186,37.77197
virginica_47,virginica,7.19,2.59,5.64,1.75,-122.18473,37.79144
virginica_48,virginica,7.14,2.88,5.9,2.08,-122.17443,37.79568
virginica_49,virginica,6.19,3.5,5.93,1.64,-122.1782,37.77375
virginica_50,virginica,5.37,3.09,5.6,2.16,-122.18803,37.74801
