id,lon,lat,magnitude
EARTHQUAKE_126,-116.4344,36.79055,3.26
EARTHQUAKE_127,-118.30293,36.63082,6.81
EARTHQUAKE_128,-119.60222,38.28823,4.63
EARTHQUAKE_129,-121.14594,34.92894,5.2
EARTHQUAKE_130,-120.17051,35.06748,7.63
EARTHQUAKE_131,-120.51735,36.31146,5.48
EARTHQUAKE_132,-118.73635,35.12788,3.76
EARTHQUAKE_133,-121.43764,35.87182,3.89
EARTHQUAKE_134,-121.53422,36.67573,4.93
EARTHQUAKE_135,-117.59991,37.9488,3.97
EARTHQUAKE_136,-117.10353,36.41966,2.53
EARTHQUAKE_137,-121.96012,35.3432,6.43
EARTHQUAKE_138,-118.12438,35.66591,5.71
EARTHQUAKE_139,-118.13904,36.63012,3.79
EARTHQUAKE_140,-120.68201,38.5322,4.04
